2025-12-21 13:05:43,638 | BASE_PAGE | INFO | Opening the url "AppRoute.DASHBOARD"
2025-12-21 13:05:45,188 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-app-title-text" at index "0"
2025-12-21 13:05:45,188 | BASE_ELEMENT | INFO | Checking that text "App title" is visible
2025-12-21 13:05:45,248 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-app-title-text" at index "0"
2025-12-21 13:05:45,248 | BASE_ELEMENT | INFO | Checking that text "App title" has text "UI Course"
2025-12-21 13:05:45,279 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-welcome-title-text" at index "0"
2025-12-21 13:05:45,279 | BASE_ELEMENT | INFO | Checking that text "Welcome title" is visible
2025-12-21 13:05:45,312 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-welcome-title-text" at index "0"
2025-12-21 13:05:45,312 | BASE_ELEMENT | INFO | Checking that text "Welcome title" has text "Welcome, username!"
2025-12-21 13:05:45,351 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-icon" at index "0"
2025-12-21 13:05:45,352 | BASE_ELEMENT | INFO | Checking that icon "Sidebar" is visible
2025-12-21 13:05:45,387 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-title-text" at index "0"
2025-12-21 13:05:45,388 | BASE_ELEMENT | INFO | Checking that text "Sidebar" is visible
2025-12-21 13:05:45,409 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-title-text" at index "0"
2025-12-21 13:05:45,409 | BASE_ELEMENT | INFO | Checking that text "Sidebar" has text "Logout"
2025-12-21 13:05:45,432 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-button" at index "0"
2025-12-21 13:05:45,432 | BASE_ELEMENT | INFO | Checking that button "Sidebar" is visible
2025-12-21 13:05:45,449 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-icon" at index "0"
2025-12-21 13:05:45,449 | BASE_ELEMENT | INFO | Checking that icon "Sidebar" is visible
2025-12-21 13:05:45,469 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-title-text" at index "0"
2025-12-21 13:05:45,469 | BASE_ELEMENT | INFO | Checking that text "Sidebar" is visible
2025-12-21 13:05:45,484 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-title-text" at index "0"
2025-12-21 13:05:45,485 | BASE_ELEMENT | INFO | Checking that text "Sidebar" has text "Courses"
2025-12-21 13:05:45,497 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-button" at index "0"
2025-12-21 13:05:45,497 | BASE_ELEMENT | INFO | Checking that button "Sidebar" is visible
2025-12-21 13:05:45,507 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-drawer-list-item-icon" at index "0"
2025-12-21 13:05:45,507 | BASE_ELEMENT | INFO | Checking that icon "Sidebar" is visible
2025-12-21 13:05:45,517 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-drawer-list-item-title-text" at index "0"
2025-12-21 13:05:45,517 | BASE_ELEMENT | INFO | Checking that text "Sidebar" is visible
2025-12-21 13:05:45,528 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-drawer-list-item-title-text" at index "0"
2025-12-21 13:05:45,529 | BASE_ELEMENT | INFO | Checking that text "Sidebar" has text "Dashboard"
2025-12-21 13:05:45,544 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-drawer-list-item-button" at index "0"
2025-12-21 13:05:45,545 | BASE_ELEMENT | INFO | Checking that button "Sidebar" is visible
2025-12-21 13:05:45,561 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-toolbar-title-text" at index "0"
2025-12-21 13:05:45,561 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2025-12-21 13:05:45,576 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-toolbar-title-text" at index "0"
2025-12-21 13:05:45,576 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Dashboard"
2025-12-21 13:05:45,605 | BASE_ELEMENT | INFO | Getting locator with "data-testid=scores-widget-title-text" at index "0"
2025-12-21 13:05:45,605 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2025-12-21 13:05:45,625 | BASE_ELEMENT | INFO | Getting locator with "data-testid=scores-widget-title-text" at index "0"
2025-12-21 13:05:45,626 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Scores"
2025-12-21 13:05:45,645 | BASE_ELEMENT | INFO | Getting locator with "data-testid=scores-scatter-chart" at index "0"
2025-12-21 13:05:45,645 | BASE_ELEMENT | INFO | Checking that image "Chart" is visible
2025-12-21 13:05:45,662 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-widget-title-text" at index "0"
2025-12-21 13:05:45,663 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2025-12-21 13:05:45,681 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-widget-title-text" at index "0"
2025-12-21 13:05:45,681 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Courses"
2025-12-21 13:05:45,703 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-pie-chart" at index "0"
2025-12-21 13:05:45,703 | BASE_ELEMENT | INFO | Checking that image "Chart" is visible
