2025-12-21 13:05:26,779 | BASE_PAGE | INFO | Opening the url "AppRoute.REGISTRATION"
2025-12-21 13:05:28,006 | INPUT | INFO | Fill input "Email" to value "user.name@gmail.com"
2025-12-21 13:05:28,006 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2025-12-21 13:05:28,096 | INPUT | INFO | Check that input "Email" has a value "user.name@gmail.com"
2025-12-21 13:05:28,097 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2025-12-21 13:05:28,148 | INPUT | INFO | Fill input "Username" to value "username"
2025-12-21 13:05:28,148 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2025-12-21 13:05:28,281 | INPUT | INFO | Check that input "Username" has a value "username"
2025-12-21 13:05:28,282 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2025-12-21 13:05:28,324 | INPUT | INFO | Fill input "Password" to value "password"
2025-12-21 13:05:28,325 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2025-12-21 13:05:28,413 | INPUT | INFO | Check that input "Password" has a value "password"
2025-12-21 13:05:28,413 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2025-12-21 13:05:28,451 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-page-registration-button" at index "0"
2025-12-21 13:05:28,451 | BASE_ELEMENT | INFO | Clicking button "Registration"
2025-12-21 13:05:28,630 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-toolbar-title-text" at index "0"
2025-12-21 13:05:28,630 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2025-12-21 13:05:28,953 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-toolbar-title-text" at index "0"
2025-12-21 13:05:28,953 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Dashboard"
