2025-12-21 13:05:09,502 | BASE_PAGE | INFO | Opening the url "AppRoute.LOGIN"
2025-12-21 13:05:10,960 | INPUT | INFO | Fill input "Email" to value "user.name@gmail.com"
2025-12-21 13:05:10,960 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-email-input" at index "0"
2025-12-21 13:05:11,031 | INPUT | INFO | Check that input "Email" has a value "user.name@gmail.com"
2025-12-21 13:05:11,031 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-email-input" at index "0"
2025-12-21 13:05:11,073 | INPUT | INFO | Fill input "Password" to value "password"
2025-12-21 13:05:11,073 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-password-input" at index "0"
2025-12-21 13:05:11,192 | INPUT | INFO | Check that input "Password" has a value "password"
2025-12-21 13:05:11,193 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-password-input" at index "0"
2025-12-21 13:05:11,238 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-login-button" at index "0"
2025-12-21 13:05:11,238 | BASE_ELEMENT | INFO | Clicking button "Login"
2025-12-21 13:05:11,412 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2025-12-21 13:05:11,412 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" is visible
2025-12-21 13:05:11,445 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2025-12-21 13:05:11,446 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" has text "Wrong email or password"
