2025-12-21 13:05:16,060 | BASE_PAGE | INFO | Opening the url "AppRoute.LOGIN"
2025-12-21 13:05:17,853 | INPUT | INFO | Fill input "Email" to value "user.name@gmail.com"
2025-12-21 13:05:17,854 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-email-input" at index "0"
2025-12-21 13:05:17,925 | INPUT | INFO | Check that input "Email" has a value "user.name@gmail.com"
2025-12-21 13:05:17,926 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-email-input" at index "0"
2025-12-21 13:05:18,056 | INPUT | INFO | Fill input "Password" to value "password"
2025-12-21 13:05:18,057 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-password-input" at index "0"
2025-12-21 13:05:18,260 | INPUT | INFO | Check that input "Password" has a value "password"
2025-12-21 13:05:18,260 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-password-input" at index "0"
2025-12-21 13:05:18,349 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-login-button" at index "0"
2025-12-21 13:05:18,349 | BASE_ELEMENT | INFO | Clicking button "Login"
2025-12-21 13:05:18,777 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2025-12-21 13:05:18,777 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" is visible
2025-12-21 13:05:18,786 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2025-12-21 13:05:18,786 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" has text "Wrong email or password"
