2025-12-21 13:05:30,372 | BASE_PAGE | INFO | Opening the url "AppRoute.REGISTRATION"
2025-12-21 13:05:31,662 | INPUT | INFO | Fill input "Email" to value "user.name@gmail.com"
2025-12-21 13:05:31,663 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2025-12-21 13:05:31,721 | INPUT | INFO | Check that input "Email" has a value "user.name@gmail.com"
2025-12-21 13:05:31,721 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2025-12-21 13:05:31,736 | INPUT | INFO | Fill input "Username" to value "username"
2025-12-21 13:05:31,736 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2025-12-21 13:05:32,050 | INPUT | INFO | Check that input "Username" has a value "username"
2025-12-21 13:05:32,050 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2025-12-21 13:05:32,066 | INPUT | INFO | Fill input "Password" to value "password"
2025-12-21 13:05:32,066 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2025-12-21 13:05:32,318 | INPUT | INFO | Check that input "Password" has a value "password"
2025-12-21 13:05:32,318 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2025-12-21 13:05:32,329 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-page-registration-button" at index "0"
2025-12-21 13:05:32,329 | BASE_ELEMENT | INFO | Clicking button "Registration"
2025-12-21 13:05:33,052 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-toolbar-title-text" at index "0"
2025-12-21 13:05:33,052 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2025-12-21 13:05:33,279 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-toolbar-title-text" at index "0"
2025-12-21 13:05:33,279 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Dashboard"
