2025-12-21 13:05:22,788 | BASE_PAGE | INFO | Opening the url "AppRoute.LOGIN"
2025-12-21 13:05:24,100 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-registration-link" at index "0"
2025-12-21 13:05:24,100 | BASE_ELEMENT | INFO | Clicking link "Registration"
2025-12-21 13:05:24,159 | BASE_PAGE | INFO | Checking that current url matches pattern ".*/#/auth/registration"
2025-12-21 13:05:24,190 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2025-12-21 13:05:24,190 | BASE_ELEMENT | INFO | Checking that input "Email" is visible
2025-12-21 13:05:24,205 | INPUT | INFO | Check that input "Email" has a value ""
2025-12-21 13:05:24,205 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2025-12-21 13:05:24,218 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2025-12-21 13:05:24,218 | BASE_ELEMENT | INFO | Checking that input "Username" is visible
2025-12-21 13:05:24,230 | INPUT | INFO | Check that input "Username" has a value ""
2025-12-21 13:05:24,230 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2025-12-21 13:05:24,239 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2025-12-21 13:05:24,239 | BASE_ELEMENT | INFO | Checking that input "Password" is visible
2025-12-21 13:05:24,248 | INPUT | INFO | Check that input "Password" has a value ""
2025-12-21 13:05:24,248 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
