2025-12-21 13:05:25,936 | BASE_PAGE | INFO | Opening the url "AppRoute.REGISTRATION"
2025-12-21 13:05:27,185 | INPUT | INFO | Fill input "Email" to value "user.name@gmail.com"
2025-12-21 13:05:27,185 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2025-12-21 13:05:27,261 | INPUT | INFO | Check that input "Email" has a value "user.name@gmail.com"
2025-12-21 13:05:27,261 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2025-12-21 13:05:27,287 | INPUT | INFO | Fill input "Username" to value "username"
2025-12-21 13:05:27,287 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2025-12-21 13:05:27,351 | INPUT | INFO | Check that input "Username" has a value "username"
2025-12-21 13:05:27,351 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2025-12-21 13:05:27,386 | INPUT | INFO | Fill input "Password" to value "password"
2025-12-21 13:05:27,386 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2025-12-21 13:05:27,493 | INPUT | INFO | Check that input "Password" has a value "password"
2025-12-21 13:05:27,493 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2025-12-21 13:05:27,517 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-page-registration-button" at index "0"
2025-12-21 13:05:27,517 | BASE_ELEMENT | INFO | Clicking button "Registration"
2025-12-21 13:05:27,622 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-toolbar-title-text" at index "0"
2025-12-21 13:05:27,622 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2025-12-21 13:05:27,805 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-toolbar-title-text" at index "0"
2025-12-21 13:05:27,805 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Dashboard"
2025-12-21 13:05:27,834 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-app-title-text" at index "0"
2025-12-21 13:05:27,834 | BASE_ELEMENT | INFO | Checking that text "App title" is visible
