2025-12-21 13:05:11,871 | BASE_PAGE | INFO | Opening the url "AppRoute.LOGIN"
2025-12-21 13:05:12,990 | INPUT | INFO | Fill input "Email" to value "user.name@gmail.com"
2025-12-21 13:05:12,991 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-email-input" at index "0"
2025-12-21 13:05:13,046 | INPUT | INFO | Check that input "Email" has a value "user.name@gmail.com"
2025-12-21 13:05:13,046 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-email-input" at index "0"
2025-12-21 13:05:13,058 | INPUT | INFO | Fill input "Password" to value "  "
2025-12-21 13:05:13,058 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-password-input" at index "0"
2025-12-21 13:05:13,101 | INPUT | INFO | Check that input "Password" has a value "  "
2025-12-21 13:05:13,101 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-password-input" at index "0"
2025-12-21 13:05:13,116 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-login-button" at index "0"
2025-12-21 13:05:13,116 | BASE_ELEMENT | INFO | Clicking button "Login"
2025-12-21 13:05:13,195 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2025-12-21 13:05:13,195 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" is visible
2025-12-21 13:05:13,210 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2025-12-21 13:05:13,210 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" has text "Wrong email or password"
