2025-12-21 13:05:22,908 | BASE_PAGE | INFO | Opening the url "AppRoute.LOGIN"
2025-12-21 13:05:24,271 | INPUT | INFO | Fill input "Email" to value "  "
2025-12-21 13:05:24,272 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-email-input" at index "0"
2025-12-21 13:05:24,348 | INPUT | INFO | Check that input "Email" has a value "  "
2025-12-21 13:05:24,348 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-email-input" at index "0"
2025-12-21 13:05:24,464 | INPUT | INFO | Fill input "Password" to value "password"
2025-12-21 13:05:24,465 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-password-input" at index "0"
2025-12-21 13:05:24,783 | INPUT | INFO | Check that input "Password" has a value "password"
2025-12-21 13:05:24,783 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-password-input" at index "0"
2025-12-21 13:05:24,999 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-login-button" at index "0"
2025-12-21 13:05:24,999 | BASE_ELEMENT | INFO | Clicking button "Login"
2025-12-21 13:05:25,152 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2025-12-21 13:05:25,152 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" is visible
2025-12-21 13:05:25,416 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2025-12-21 13:05:25,416 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" has text "Wrong email or password"
