2025-12-21 13:05:49,219 | BASE_PAGE | INFO | Opening the url "AppRoute.DASHBOARD"
2025-12-21 13:05:50,676 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-app-title-text" at index "0"
2025-12-21 13:05:50,677 | BASE_ELEMENT | INFO | Checking that text "App title" is visible
2025-12-21 13:05:50,718 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-app-title-text" at index "0"
2025-12-21 13:05:50,718 | BASE_ELEMENT | INFO | Checking that text "App title" has text "UI Course"
2025-12-21 13:05:50,731 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-welcome-title-text" at index "0"
2025-12-21 13:05:50,732 | BASE_ELEMENT | INFO | Checking that text "Welcome title" is visible
2025-12-21 13:05:50,743 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-welcome-title-text" at index "0"
2025-12-21 13:05:50,743 | BASE_ELEMENT | INFO | Checking that text "Welcome title" has text "Welcome, username!"
2025-12-21 13:05:50,754 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-icon" at index "0"
2025-12-21 13:05:50,754 | BASE_ELEMENT | INFO | Checking that icon "Sidebar" is visible
2025-12-21 13:05:50,764 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-title-text" at index "0"
2025-12-21 13:05:50,764 | BASE_ELEMENT | INFO | Checking that text "Sidebar" is visible
2025-12-21 13:05:50,774 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-title-text" at index "0"
2025-12-21 13:05:50,774 | BASE_ELEMENT | INFO | Checking that text "Sidebar" has text "Logout"
2025-12-21 13:05:50,783 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-button" at index "0"
2025-12-21 13:05:50,783 | BASE_ELEMENT | INFO | Checking that button "Sidebar" is visible
2025-12-21 13:05:50,794 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-icon" at index "0"
2025-12-21 13:05:50,794 | BASE_ELEMENT | INFO | Checking that icon "Sidebar" is visible
2025-12-21 13:05:50,803 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-title-text" at index "0"
2025-12-21 13:05:50,804 | BASE_ELEMENT | INFO | Checking that text "Sidebar" is visible
2025-12-21 13:05:50,815 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-title-text" at index "0"
2025-12-21 13:05:50,815 | BASE_ELEMENT | INFO | Checking that text "Sidebar" has text "Courses"
