2025-12-21 13:05:09,514 | BASE_PAGE | INFO | Opening the url "AppRoute.LOGIN"
2025-12-21 13:05:10,955 | INPUT | INFO | Fill input "Email" to value "  "
2025-12-21 13:05:10,955 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-email-input" at index "0"
2025-12-21 13:05:11,027 | INPUT | INFO | Check that input "Email" has a value "  "
2025-12-21 13:05:11,027 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-email-input" at index "0"
2025-12-21 13:05:11,067 | INPUT | INFO | Fill input "Password" to value "password"
2025-12-21 13:05:11,067 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-password-input" at index "0"
2025-12-21 13:05:11,171 | INPUT | INFO | Check that input "Password" has a value "password"
2025-12-21 13:05:11,171 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-password-input" at index "0"
2025-12-21 13:05:11,215 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-login-button" at index "0"
2025-12-21 13:05:11,215 | BASE_ELEMENT | INFO | Clicking button "Login"
2025-12-21 13:05:11,357 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2025-12-21 13:05:11,357 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" is visible
2025-12-21 13:05:11,385 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2025-12-21 13:05:11,385 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" has text "Wrong email or password"
