2025-12-21 13:05:42,081 | BASE_PAGE | INFO | Opening the url "AppRoute.COURSES_CREATE"
2025-12-21 13:05:43,680 | FILE_INPUT | INFO | Set file "testdata/files/image.png" to the file input "Upload"
2025-12-21 13:05:43,681 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-upload-button" at index "0"
2025-12-21 13:05:43,735 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-icon" at index "0"
2025-12-21 13:05:43,735 | BASE_ELEMENT | INFO | Checking that icon "Image upload info" is visible
2025-12-21 13:05:43,838 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-title-text" at index "0"
2025-12-21 13:05:43,838 | BASE_ELEMENT | INFO | Checking that text "Image upload info" is visible
2025-12-21 13:05:43,907 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-title-text" at index "0"
2025-12-21 13:05:43,908 | BASE_ELEMENT | INFO | Checking that text "Image upload info" has text "Tap on "Upload image" button to select file"
2025-12-21 13:05:43,922 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-description-text" at index "0"
2025-12-21 13:05:43,923 | BASE_ELEMENT | INFO | Checking that text "Image upload info" is visible
2025-12-21 13:05:43,933 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-description-text" at index "0"
2025-12-21 13:05:43,933 | BASE_ELEMENT | INFO | Checking that text "Image upload info" has text "Recommended file size 540X300"
2025-12-21 13:05:43,942 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-upload-button" at index "0"
2025-12-21 13:05:43,942 | BASE_ELEMENT | INFO | Checking that button "Upload" is visible
2025-12-21 13:05:43,953 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-remove-button" at index "0"
2025-12-21 13:05:43,953 | BASE_ELEMENT | INFO | Checking that button "Remove" is visible
2025-12-21 13:05:43,966 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-preview-image" at index "0"
2025-12-21 13:05:43,966 | BASE_ELEMENT | INFO | Checking that image "Preview" is visible
2025-12-21 13:05:44,000 | INPUT | INFO | Fill input "Title" to value "Playwright"
2025-12-21 13:05:44,001 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-title-input" at index "0"
2025-12-21 13:05:44,097 | INPUT | INFO | Check that input "Title" has a value "Playwright"
2025-12-21 13:05:44,097 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-title-input" at index "0"
2025-12-21 13:05:44,112 | INPUT | INFO | Fill input "Estimated time" to value "2 weeks"
2025-12-21 13:05:44,112 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-estimated-time-input" at index "0"
2025-12-21 13:05:44,306 | INPUT | INFO | Check that input "Estimated time" has a value "2 weeks"
2025-12-21 13:05:44,306 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-estimated-time-input" at index "0"
2025-12-21 13:05:44,521 | TEXTAREA | INFO | Fill textarea "Description" to value "Playwright"
2025-12-21 13:05:44,521 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-description-input" at index "0"
2025-12-21 13:05:44,589 | TEXTAREA | INFO | Check have textarea "Description" to value
2025-12-21 13:05:44,589 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-description-input" at index "0"
2025-12-21 13:05:44,727 | INPUT | INFO | Fill input "Max score" to value "100"
2025-12-21 13:05:44,727 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-max-score-input" at index "0"
2025-12-21 13:05:44,933 | INPUT | INFO | Check that input "Max score" has a value "100"
