2025-12-21 13:05:19,557 | BASE_PAGE | INFO | Opening the url "AppRoute.LOGIN"
2025-12-21 13:05:21,008 | INPUT | INFO | Fill input "Email" to value "user.name@gmail.com"
2025-12-21 13:05:21,008 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-email-input" at index "0"
2025-12-21 13:05:21,078 | INPUT | INFO | Check that input "Email" has a value "user.name@gmail.com"
2025-12-21 13:05:21,078 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-email-input" at index "0"
2025-12-21 13:05:21,097 | INPUT | INFO | Fill input "Password" to value "  "
2025-12-21 13:05:21,097 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-password-input" at index "0"
2025-12-21 13:05:21,567 | INPUT | INFO | Check that input "Password" has a value "  "
2025-12-21 13:05:21,567 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-password-input" at index "0"
2025-12-21 13:05:21,793 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-login-button" at index "0"
2025-12-21 13:05:21,793 | BASE_ELEMENT | INFO | Clicking button "Login"
2025-12-21 13:05:21,900 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2025-12-21 13:05:21,901 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" is visible
2025-12-21 13:05:22,097 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2025-12-21 13:05:22,097 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" has text "Wrong email or password"
