2025-12-21 13:05:29,593 | BASE_PAGE | INFO | Opening the url "AppRoute.REGISTRATION"
2025-12-21 13:05:30,765 | INPUT | INFO | Fill input "Email" to value "user.name@gmail.com"
2025-12-21 13:05:30,766 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2025-12-21 13:05:30,862 | INPUT | INFO | Check that input "Email" has a value "user.name@gmail.com"
2025-12-21 13:05:30,862 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2025-12-21 13:05:30,878 | INPUT | INFO | Fill input "Username" to value "username"
2025-12-21 13:05:30,878 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2025-12-21 13:05:30,922 | INPUT | INFO | Check that input "Username" has a value "username"
2025-12-21 13:05:30,923 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2025-12-21 13:05:30,943 | INPUT | INFO | Fill input "Password" to value "password"
2025-12-21 13:05:30,943 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2025-12-21 13:05:30,992 | INPUT | INFO | Check that input "Password" has a value "password"
2025-12-21 13:05:30,993 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2025-12-21 13:05:31,004 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-page-registration-button" at index "0"
2025-12-21 13:05:31,005 | BASE_ELEMENT | INFO | Clicking button "Registration"
2025-12-21 13:05:31,352 | BASE_PAGE | INFO | Opening the url "AppRoute.COURSES"
2025-12-21 13:05:32,517 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-app-title-text" at index "0"
2025-12-21 13:05:32,517 | BASE_ELEMENT | INFO | Checking that text "App title" is visible
2025-12-21 13:05:32,563 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-app-title-text" at index "0"
2025-12-21 13:05:32,563 | BASE_ELEMENT | INFO | Checking that text "App title" has text "UI Course"
2025-12-21 13:05:32,573 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-welcome-title-text" at index "0"
2025-12-21 13:05:32,574 | BASE_ELEMENT | INFO | Checking that text "Welcome title" is visible
2025-12-21 13:05:32,585 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-welcome-title-text" at index "0"
2025-12-21 13:05:32,586 | BASE_ELEMENT | INFO | Checking that text "Welcome title" has text "Welcome, username!"
2025-12-21 13:05:32,602 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-icon" at index "0"
2025-12-21 13:05:32,603 | BASE_ELEMENT | INFO | Checking that icon "Sidebar" is visible
2025-12-21 13:05:32,613 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-title-text" at index "0"
2025-12-21 13:05:32,613 | BASE_ELEMENT | INFO | Checking that text "Sidebar" is visible
2025-12-21 13:05:32,626 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-title-text" at index "0"
2025-12-21 13:05:32,626 | BASE_ELEMENT | INFO | Checking that text "Sidebar" has text "Logout"
2025-12-21 13:05:32,635 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-button" at index "0"
2025-12-21 13:05:32,635 | BASE_ELEMENT | INFO | Checking that button "Sidebar" is visible
2025-12-21 13:05:32,649 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-icon" at index "0"
2025-12-21 13:05:32,649 | BASE_ELEMENT | INFO | Checking that icon "Sidebar" is visible
2025-12-21 13:05:32,660 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-title-text" at index "0"
2025-12-21 13:05:32,660 | BASE_ELEMENT | INFO | Checking that text "Sidebar" is visible
2025-12-21 13:05:32,675 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-title-text" at index "0"
2025-12-21 13:05:32,675 | BASE_ELEMENT | INFO | Checking that text "Sidebar" has text "Courses"
2025-12-21 13:05:32,690 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-button" at index "0"
2025-12-21 13:05:32,690 | BASE_ELEMENT | INFO | Checking that button "Sidebar" is visible
2025-12-21 13:05:32,702 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-drawer-list-item-icon" at index "0"
2025-12-21 13:05:32,702 | BASE_ELEMENT | INFO | Checking that icon "Sidebar" is visible
2025-12-21 13:05:32,720 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-drawer-list-item-title-text" at index "0"
2025-12-21 13:05:32,720 | BASE_ELEMENT | INFO | Checking that text "Sidebar" is visible
2025-12-21 13:05:32,729 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-drawer-list-item-title-text" at index "0"
2025-12-21 13:05:32,729 | BASE_ELEMENT | INFO | Checking that text "Sidebar" has text "Dashboard"
2025-12-21 13:05:32,739 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-drawer-list-item-button" at index "0"
2025-12-21 13:05:32,739 | BASE_ELEMENT | INFO | Checking that button "Sidebar" is visible
2025-12-21 13:05:32,749 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-list-toolbar-title-text" at index "0"
2025-12-21 13:05:32,749 | BASE_ELEMENT | INFO | Checking that text "Courses" is visible
2025-12-21 13:05:32,766 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-list-toolbar-title-text" at index "0"
2025-12-21 13:05:32,766 | BASE_ELEMENT | INFO | Checking that text "Courses" has text "Courses"
2025-12-21 13:05:32,780 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-list-toolbar-create-course-button" at index "0"
2025-12-21 13:05:32,780 | BASE_ELEMENT | INFO | Checking that button "Create course" is visible
2025-12-21 13:05:32,805 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-list-empty-view-icon" at index "0"
2025-12-21 13:05:32,805 | BASE_ELEMENT | INFO | Checking that icon "EmptyView" is visible
2025-12-21 13:05:32,820 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-list-empty-view-title-text" at index "0"
2025-12-21 13:05:32,820 | BASE_ELEMENT | INFO | Checking that text "EmptyView" is visible
2025-12-21 13:05:32,847 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-list-empty-view-title-text" at index "0"
2025-12-21 13:05:32,847 | BASE_ELEMENT | INFO | Checking that text "EmptyView" has text "There is no results"
2025-12-21 13:05:32,880 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-list-empty-view-description-text" at index "0"
2025-12-21 13:05:32,880 | BASE_ELEMENT | INFO | Checking that text "EmptyView" is visible
2025-12-21 13:05:32,905 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-list-empty-view-description-text" at index "0"
2025-12-21 13:05:32,906 | BASE_ELEMENT | INFO | Checking that text "EmptyView" has text "Results from the load test pipeline will be displayed here"
