2025-12-21 13:05:36,549 | BASE_PAGE | INFO | Opening the url "AppRoute.COURSES_CREATE"
2025-12-21 13:05:37,855 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-title-text" at index "0"
2025-12-21 13:05:37,856 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2025-12-21 13:05:37,890 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-title-text" at index "0"
2025-12-21 13:05:37,890 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Create course"
2025-12-21 13:05:37,908 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-create-course-button" at index "0"
2025-12-21 13:05:37,909 | BASE_ELEMENT | INFO | Checking that button "Create course" is visible
2025-12-21 13:05:37,924 | BUTTON | INFO | Checking that button "Create course" is disabled
2025-12-21 13:05:37,924 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-create-course-button" at index "0"
2025-12-21 13:05:37,947 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-icon" at index "0"
2025-12-21 13:05:37,947 | BASE_ELEMENT | INFO | Checking that icon "Image upload info" is visible
2025-12-21 13:05:37,963 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-title-text" at index "0"
2025-12-21 13:05:37,964 | BASE_ELEMENT | INFO | Checking that text "Image upload info" is visible
2025-12-21 13:05:37,978 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-title-text" at index "0"
2025-12-21 13:05:37,979 | BASE_ELEMENT | INFO | Checking that text "Image upload info" has text "Tap on "Upload image" button to select file"
2025-12-21 13:05:37,998 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-description-text" at index "0"
2025-12-21 13:05:37,999 | BASE_ELEMENT | INFO | Checking that text "Image upload info" is visible
2025-12-21 13:05:38,016 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-description-text" at index "0"
