2025-12-21 13:05:24,769 | BASE_PAGE | INFO | Opening the url "AppRoute.LOGIN"
2025-12-21 13:05:26,105 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-registration-link" at index "0"
2025-12-21 13:05:26,105 | BASE_ELEMENT | INFO | Clicking link "Registration"
2025-12-21 13:05:26,205 | BASE_PAGE | INFO | Checking that current url matches pattern ".*/#/auth/registration"
2025-12-21 13:05:26,387 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2025-12-21 13:05:26,387 | BASE_ELEMENT | INFO | Checking that input "Email" is visible
2025-12-21 13:05:26,397 | INPUT | INFO | Check that input "Email" has a value ""
2025-12-21 13:05:26,398 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2025-12-21 13:05:26,408 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2025-12-21 13:05:26,408 | BASE_ELEMENT | INFO | Checking that input "Username" is visible
2025-12-21 13:05:26,420 | INPUT | INFO | Check that input "Username" has a value ""
2025-12-21 13:05:26,420 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2025-12-21 13:05:26,436 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2025-12-21 13:05:26,436 | BASE_ELEMENT | INFO | Checking that input "Password" is visible
2025-12-21 13:05:26,453 | INPUT | INFO | Check that input "Password" has a value ""
2025-12-21 13:05:26,453 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
