"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2762","User login with wrong email or password","LMS system","Sun Dec 21 13:05:22 UTC 2025","passed","Sun Dec 21 13:05:25 UTC 2025","Authorization","Authentication","",""
"","1350","User login with wrong email or password","LMS system","Sun Dec 21 13:05:11 UTC 2025","passed","Sun Dec 21 13:05:13 UTC 2025","Authorization","Authentication","",""
"","2736","User login with wrong email or password","LMS system","Sun Dec 21 13:05:16 UTC 2025","passed","Sun Dec 21 13:05:18 UTC 2025","Authorization","Authentication","",""
"","2691","Create course","LMS system","Sun Dec 21 13:05:36 UTC 2025","passed","Sun Dec 21 13:05:38 UTC 2025","Courses","Courses","",""
"","1806","Check displaying of dashboard page","LMS system","Sun Dec 21 13:05:49 UTC 2025","passed","Sun Dec 21 13:05:51 UTC 2025","Dashboard","Dashboard","",""
"","4428","Create course","LMS system","Sun Dec 21 13:05:36 UTC 2025","passed","Sun Dec 21 13:05:40 UTC 2025","Courses","Courses","",""
"","1906","User login with wrong email or password","LMS system","Sun Dec 21 13:05:09 UTC 2025","passed","Sun Dec 21 13:05:11 UTC 2025","Authorization","Authentication","",""
"","1471","Navigation from login page to registration page","LMS system","Sun Dec 21 13:05:22 UTC 2025","passed","Sun Dec 21 13:05:24 UTC 2025","Authorization","Authentication","",""
"","2227","Registration with correct email, username and password","LMS system","Sun Dec 21 13:05:26 UTC 2025","passed","Sun Dec 21 13:05:29 UTC 2025","Registration","Authentication","",""
"","1700","Navigation from login page to registration page","LMS system","Sun Dec 21 13:05:24 UTC 2025","passed","Sun Dec 21 13:05:26 UTC 2025","Authorization","Authentication","",""
"","1976","User login with wrong email or password","LMS system","Sun Dec 21 13:05:09 UTC 2025","passed","Sun Dec 21 13:05:11 UTC 2025","Authorization","Authentication","",""
"","2750","User login with wrong email or password","LMS system","Sun Dec 21 13:05:19 UTC 2025","passed","Sun Dec 21 13:05:22 UTC 2025","Authorization","Authentication","",""
"","3834","User login with correct email and password","LMS system","Sun Dec 21 13:05:25 UTC 2025","passed","Sun Dec 21 13:05:29 UTC 2025","Authorization","Authentication","",""
"","1574","Check displaying of empty courses list","LMS system","Sun Dec 21 13:05:31 UTC 2025","passed","Sun Dec 21 13:05:32 UTC 2025","Courses","Courses","",""
"","2180","Check displaying of dashboard page","LMS system","Sun Dec 21 13:05:43 UTC 2025","passed","Sun Dec 21 13:05:45 UTC 2025","Dashboard","Dashboard","",""
"","6318","Edit course","LMS system","Sun Dec 21 13:05:42 UTC 2025","passed","Sun Dec 21 13:05:48 UTC 2025","Courses","Courses","",""
"","6270","User login with correct email and password","LMS system","Sun Dec 21 13:05:16 UTC 2025","passed","Sun Dec 21 13:05:22 UTC 2025","Authorization","Authentication","",""
"","1733","Check displaying of empty courses list","LMS system","Sun Dec 21 13:05:34 UTC 2025","passed","Sun Dec 21 13:05:35 UTC 2025","Courses","Courses","",""
"","3721","Edit course","LMS system","Sun Dec 21 13:05:39 UTC 2025","passed","Sun Dec 21 13:05:43 UTC 2025","Courses","Courses","",""
"","3147","Registration with correct email, username and password","LMS system","Sun Dec 21 13:05:30 UTC 2025","passed","Sun Dec 21 13:05:33 UTC 2025","Registration","Authentication","",""
