2025-12-22 06:20:47,294 | BASE_PAGE | INFO | Opening the url "AppRoute.LOGIN"
2025-12-22 06:20:48,835 | INPUT | INFO | Fill input "Email" to value "  "
2025-12-22 06:20:48,835 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-email-input" at index "0"
2025-12-22 06:20:48,943 | INPUT | INFO | Check that input "Email" has a value "  "
2025-12-22 06:20:48,943 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-email-input" at index "0"
2025-12-22 06:20:49,000 | INPUT | INFO | Fill input "Password" to value "password"
2025-12-22 06:20:49,001 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-password-input" at index "0"
2025-12-22 06:20:49,120 | INPUT | INFO | Check that input "Password" has a value "password"
2025-12-22 06:20:49,120 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-password-input" at index "0"
2025-12-22 06:20:49,170 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-login-button" at index "0"
2025-12-22 06:20:49,171 | BASE_ELEMENT | INFO | Clicking button "Login"
2025-12-22 06:20:49,339 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2025-12-22 06:20:49,339 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" is visible
2025-12-22 06:20:49,376 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2025-12-22 06:20:49,376 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" has text "Wrong email or password"
