2025-12-22 06:21:05,681 | BASE_PAGE | INFO | Opening the url "AppRoute.LOGIN"
2025-12-22 06:21:07,108 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-registration-link" at index "0"
2025-12-22 06:21:07,108 | BASE_ELEMENT | INFO | Clicking link "Registration"
2025-12-22 06:21:07,266 | BASE_PAGE | INFO | Checking that current url matches pattern ".*/#/auth/registration"
2025-12-22 06:21:07,333 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2025-12-22 06:21:07,333 | BASE_ELEMENT | INFO | Checking that input "Email" is visible
2025-12-22 06:21:07,372 | INPUT | INFO | Check that input "Email" has a value ""
2025-12-22 06:21:07,372 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2025-12-22 06:21:07,396 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2025-12-22 06:21:07,396 | BASE_ELEMENT | INFO | Checking that input "Username" is visible
2025-12-22 06:21:07,410 | INPUT | INFO | Check that input "Username" has a value ""
2025-12-22 06:21:07,410 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2025-12-22 06:21:07,424 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2025-12-22 06:21:07,424 | BASE_ELEMENT | INFO | Checking that input "Password" is visible
2025-12-22 06:21:07,439 | INPUT | INFO | Check that input "Password" has a value ""
2025-12-22 06:21:07,439 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
