2025-12-22 06:21:06,658 | BASE_PAGE | INFO | Opening the url "AppRoute.LOGIN"
2025-12-22 06:21:08,080 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-registration-link" at index "0"
2025-12-22 06:21:08,080 | BASE_ELEMENT | INFO | Clicking link "Registration"
2025-12-22 06:21:08,198 | BASE_PAGE | INFO | Checking that current url matches pattern ".*/#/auth/registration"
2025-12-22 06:21:08,428 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2025-12-22 06:21:08,428 | BASE_ELEMENT | INFO | Checking that input "Email" is visible
2025-12-22 06:21:08,443 | INPUT | INFO | Check that input "Email" has a value ""
2025-12-22 06:21:08,443 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2025-12-22 06:21:08,461 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2025-12-22 06:21:08,461 | BASE_ELEMENT | INFO | Checking that input "Username" is visible
2025-12-22 06:21:08,475 | INPUT | INFO | Check that input "Username" has a value ""
2025-12-22 06:21:08,475 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2025-12-22 06:21:08,496 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2025-12-22 06:21:08,496 | BASE_ELEMENT | INFO | Checking that input "Password" is visible
2025-12-22 06:21:08,531 | INPUT | INFO | Check that input "Password" has a value ""
2025-12-22 06:21:08,532 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
