2025-12-22 06:21:09,354 | BASE_PAGE | INFO | Opening the url "AppRoute.REGISTRATION"
2025-12-22 06:21:11,285 | INPUT | INFO | Fill input "Email" to value "user.name@gmail.com"
2025-12-22 06:21:11,285 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2025-12-22 06:21:11,348 | INPUT | INFO | Check that input "Email" has a value "user.name@gmail.com"
2025-12-22 06:21:11,348 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2025-12-22 06:21:11,531 | INPUT | INFO | Fill input "Username" to value "username"
2025-12-22 06:21:11,532 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2025-12-22 06:21:11,643 | INPUT | INFO | Check that input "Username" has a value "username"
2025-12-22 06:21:11,643 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2025-12-22 06:21:11,752 | INPUT | INFO | Fill input "Password" to value "password"
2025-12-22 06:21:11,752 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2025-12-22 06:21:11,986 | INPUT | INFO | Check that input "Password" has a value "password"
2025-12-22 06:21:11,986 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2025-12-22 06:21:12,001 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-page-registration-button" at index "0"
2025-12-22 06:21:12,002 | BASE_ELEMENT | INFO | Clicking button "Registration"
2025-12-22 06:21:12,568 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-toolbar-title-text" at index "0"
2025-12-22 06:21:12,568 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2025-12-22 06:21:13,071 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-toolbar-title-text" at index "0"
2025-12-22 06:21:13,072 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Dashboard"
