2025-12-22 06:20:49,782 | BASE_PAGE | INFO | Opening the url "AppRoute.LOGIN"
2025-12-22 06:20:50,900 | INPUT | INFO | Fill input "Email" to value "user.name@gmail.com"
2025-12-22 06:20:50,900 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-email-input" at index "0"
2025-12-22 06:20:50,949 | INPUT | INFO | Check that input "Email" has a value "user.name@gmail.com"
2025-12-22 06:20:50,949 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-email-input" at index "0"
2025-12-22 06:20:50,963 | INPUT | INFO | Fill input "Password" to value "  "
2025-12-22 06:20:50,963 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-password-input" at index "0"
2025-12-22 06:20:51,003 | INPUT | INFO | Check that input "Password" has a value "  "
2025-12-22 06:20:51,003 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-password-input" at index "0"
2025-12-22 06:20:51,028 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-login-button" at index "0"
2025-12-22 06:20:51,028 | BASE_ELEMENT | INFO | Clicking button "Login"
2025-12-22 06:20:51,113 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2025-12-22 06:20:51,114 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" is visible
2025-12-22 06:20:51,128 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2025-12-22 06:20:51,129 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" has text "Wrong email or password"
