2025-12-22 06:21:19,641 | BASE_PAGE | INFO | Opening the url "AppRoute.COURSES_CREATE"
2025-12-22 06:21:21,231 | FILE_INPUT | INFO | Set file "testdata/files/image.png" to the file input "Upload"
2025-12-22 06:21:21,231 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-upload-button" at index "0"
2025-12-22 06:21:21,281 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-icon" at index "0"
2025-12-22 06:21:21,281 | BASE_ELEMENT | INFO | Checking that icon "Image upload info" is visible
2025-12-22 06:21:21,340 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-title-text" at index "0"
2025-12-22 06:21:21,340 | BASE_ELEMENT | INFO | Checking that text "Image upload info" is visible
2025-12-22 06:21:21,364 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-title-text" at index "0"
2025-12-22 06:21:21,364 | BASE_ELEMENT | INFO | Checking that text "Image upload info" has text "Tap on "Upload image" button to select file"
2025-12-22 06:21:21,380 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-description-text" at index "0"
2025-12-22 06:21:21,380 | BASE_ELEMENT | INFO | Checking that text "Image upload info" is visible
2025-12-22 06:21:21,396 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-description-text" at index "0"
2025-12-22 06:21:21,396 | BASE_ELEMENT | INFO | Checking that text "Image upload info" has text "Recommended file size 540X300"
2025-12-22 06:21:21,411 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-upload-button" at index "0"
2025-12-22 06:21:21,411 | BASE_ELEMENT | INFO | Checking that button "Upload" is visible
2025-12-22 06:21:21,424 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-remove-button" at index "0"
2025-12-22 06:21:21,424 | BASE_ELEMENT | INFO | Checking that button "Remove" is visible
2025-12-22 06:21:21,438 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-preview-image" at index "0"
2025-12-22 06:21:21,438 | BASE_ELEMENT | INFO | Checking that image "Preview" is visible
2025-12-22 06:21:21,472 | INPUT | INFO | Fill input "Title" to value "Playwright"
2025-12-22 06:21:21,472 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-title-input" at index "0"
2025-12-22 06:21:21,518 | INPUT | INFO | Check that input "Title" has a value "Playwright"
2025-12-22 06:21:21,519 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-title-input" at index "0"
2025-12-22 06:21:21,547 | INPUT | INFO | Fill input "Estimated time" to value "2 weeks"
2025-12-22 06:21:21,547 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-estimated-time-input" at index "0"
2025-12-22 06:21:21,597 | INPUT | INFO | Check that input "Estimated time" has a value "2 weeks"
2025-12-22 06:21:21,597 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-estimated-time-input" at index "0"
2025-12-22 06:21:21,619 | TEXTAREA | INFO | Fill textarea "Description" to value "Playwright"
2025-12-22 06:21:21,620 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-description-input" at index "0"
2025-12-22 06:21:21,693 | TEXTAREA | INFO | Check have textarea "Description" to value
2025-12-22 06:21:21,693 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-description-input" at index "0"
2025-12-22 06:21:21,716 | INPUT | INFO | Fill input "Max score" to value "100"
2025-12-22 06:21:21,716 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-max-score-input" at index "0"
2025-12-22 06:21:21,782 | INPUT | INFO | Check that input "Max score" has a value "100"
2025-12-22 06:21:21,782 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-max-score-input" at index "0"
2025-12-22 06:21:21,800 | INPUT | INFO | Fill input "Min score" to value "10"
2025-12-22 06:21:21,801 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-min-score-input" at index "0"
2025-12-22 06:21:21,873 | INPUT | INFO | Check that input "Min score" has a value "10"
2025-12-22 06:21:21,873 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-min-score-input" at index "0"
2025-12-22 06:21:21,931 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-create-course-button" at index "0"
2025-12-22 06:21:21,932 | BASE_ELEMENT | INFO | Clicking button "Create course"
2025-12-22 06:21:22,098 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-list-toolbar-title-text" at index "0"
2025-12-22 06:21:22,098 | BASE_ELEMENT | INFO | Checking that text "Courses" is visible
2025-12-22 06:21:22,149 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-list-toolbar-title-text" at index "0"
2025-12-22 06:21:22,149 | BASE_ELEMENT | INFO | Checking that text "Courses" has text "Courses"
2025-12-22 06:21:22,171 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-list-toolbar-create-course-button" at index "0"
2025-12-22 06:21:22,171 | BASE_ELEMENT | INFO | Checking that button "Create course" is visible
2025-12-22 06:21:22,197 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-preview-image" at index "0"
2025-12-22 06:21:22,197 | BASE_ELEMENT | INFO | Checking that image "Preview" is visible
2025-12-22 06:21:22,261 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-widget-title-text" at index "0"
2025-12-22 06:21:22,262 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2025-12-22 06:21:22,286 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-widget-title-text" at index "0"
2025-12-22 06:21:22,287 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Playwright"
2025-12-22 06:21:22,310 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-max-score-info-row-view-text" at index "0"
2025-12-22 06:21:22,310 | BASE_ELEMENT | INFO | Checking that text "Max score" is visible
2025-12-22 06:21:22,325 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-max-score-info-row-view-text" at index "0"
2025-12-22 06:21:22,325 | BASE_ELEMENT | INFO | Checking that text "Max score" has text "Max score: 100"
2025-12-22 06:21:22,351 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-min-score-info-row-view-text" at index "0"
2025-12-22 06:21:22,351 | BASE_ELEMENT | INFO | Checking that text "Min score" is visible
2025-12-22 06:21:22,372 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-min-score-info-row-view-text" at index "0"
2025-12-22 06:21:22,372 | BASE_ELEMENT | INFO | Checking that text "Min score" has text "Min score: 10"
2025-12-22 06:21:22,391 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-estimated-time-info-row-view-text" at index "0"
2025-12-22 06:21:22,391 | BASE_ELEMENT | INFO | Checking that text "Estimated time" is visible
