2025-12-22 06:20:58,463 | BASE_PAGE | INFO | Opening the url "AppRoute.LOGIN"
2025-12-22 06:20:59,948 | INPUT | INFO | Fill input "Email" to value "  "
2025-12-22 06:20:59,948 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-email-input" at index "0"
2025-12-22 06:21:00,012 | INPUT | INFO | Check that input "Email" has a value "  "
2025-12-22 06:21:00,012 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-email-input" at index "0"
2025-12-22 06:21:00,225 | INPUT | INFO | Fill input "Password" to value "password"
2025-12-22 06:21:00,225 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-password-input" at index "0"
2025-12-22 06:21:00,349 | INPUT | INFO | Check that input "Password" has a value "password"
2025-12-22 06:21:00,349 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-password-input" at index "0"
2025-12-22 06:21:00,471 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-login-button" at index "0"
2025-12-22 06:21:00,471 | BASE_ELEMENT | INFO | Clicking button "Login"
2025-12-22 06:21:01,010 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2025-12-22 06:21:01,010 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" is visible
2025-12-22 06:21:01,221 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2025-12-22 06:21:01,221 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" has text "Wrong email or password"
