2025-12-22 06:20:55,199 | BASE_PAGE | INFO | Opening the url "AppRoute.LOGIN"
2025-12-22 06:20:56,898 | INPUT | INFO | Fill input "Email" to value "user.name@gmail.com"
2025-12-22 06:20:56,898 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-email-input" at index "0"
2025-12-22 06:20:56,966 | INPUT | INFO | Check that input "Email" has a value "user.name@gmail.com"
2025-12-22 06:20:56,966 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-email-input" at index "0"
2025-12-22 06:20:57,095 | INPUT | INFO | Fill input "Password" to value "  "
2025-12-22 06:20:57,095 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-password-input" at index "0"
2025-12-22 06:20:57,297 | INPUT | INFO | Check that input "Password" has a value "  "
2025-12-22 06:20:57,298 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-password-input" at index "0"
2025-12-22 06:20:57,537 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-login-button" at index "0"
2025-12-22 06:20:57,538 | BASE_ELEMENT | INFO | Clicking button "Login"
2025-12-22 06:20:57,802 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2025-12-22 06:20:57,802 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" is visible
2025-12-22 06:20:57,816 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2025-12-22 06:20:57,816 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" has text "Wrong email or password"
