2025-12-22 06:21:07,773 | BASE_PAGE | INFO | Opening the url "AppRoute.REGISTRATION"
2025-12-22 06:21:09,087 | INPUT | INFO | Fill input "Email" to value "user.name@gmail.com"
2025-12-22 06:21:09,087 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2025-12-22 06:21:09,168 | INPUT | INFO | Check that input "Email" has a value "user.name@gmail.com"
2025-12-22 06:21:09,169 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2025-12-22 06:21:09,208 | INPUT | INFO | Fill input "Username" to value "username"
2025-12-22 06:21:09,209 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2025-12-22 06:21:09,343 | INPUT | INFO | Check that input "Username" has a value "username"
2025-12-22 06:21:09,343 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2025-12-22 06:21:09,386 | INPUT | INFO | Fill input "Password" to value "password"
2025-12-22 06:21:09,386 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2025-12-22 06:21:09,472 | INPUT | INFO | Check that input "Password" has a value "password"
2025-12-22 06:21:09,472 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2025-12-22 06:21:09,498 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-page-registration-button" at index "0"
2025-12-22 06:21:09,499 | BASE_ELEMENT | INFO | Clicking button "Registration"
2025-12-22 06:21:09,642 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-toolbar-title-text" at index "0"
2025-12-22 06:21:09,643 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2025-12-22 06:21:09,973 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-toolbar-title-text" at index "0"
2025-12-22 06:21:09,973 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Dashboard"
