2025-12-22 06:20:58,470 | BASE_PAGE | INFO | Opening the url "AppRoute.REGISTRATION"
2025-12-22 06:20:59,976 | INPUT | INFO | Fill input "Email" to value "user.name@gmail.com"
2025-12-22 06:20:59,977 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2025-12-22 06:21:00,055 | INPUT | INFO | Check that input "Email" has a value "user.name@gmail.com"
2025-12-22 06:21:00,055 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2025-12-22 06:21:00,202 | INPUT | INFO | Fill input "Username" to value "username"
2025-12-22 06:21:00,202 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2025-12-22 06:21:00,387 | INPUT | INFO | Check that input "Username" has a value "username"
2025-12-22 06:21:00,387 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2025-12-22 06:21:00,402 | INPUT | INFO | Fill input "Password" to value "password"
2025-12-22 06:21:00,402 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2025-12-22 06:21:00,707 | INPUT | INFO | Check that input "Password" has a value "password"
2025-12-22 06:21:00,707 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2025-12-22 06:21:00,795 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-page-registration-button" at index "0"
2025-12-22 06:21:00,795 | BASE_ELEMENT | INFO | Clicking button "Registration"
2025-12-22 06:21:01,211 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-toolbar-title-text" at index "0"
2025-12-22 06:21:01,211 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2025-12-22 06:21:01,829 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-toolbar-title-text" at index "0"
2025-12-22 06:21:01,829 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Dashboard"
