2025-12-22 06:21:10,716 | BASE_PAGE | INFO | Opening the url "AppRoute.REGISTRATION"
2025-12-22 06:21:11,777 | INPUT | INFO | Fill input "Email" to value "user.name@gmail.com"
2025-12-22 06:21:11,777 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2025-12-22 06:21:11,871 | INPUT | INFO | Check that input "Email" has a value "user.name@gmail.com"
2025-12-22 06:21:11,871 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2025-12-22 06:21:11,884 | INPUT | INFO | Fill input "Username" to value "username"
2025-12-22 06:21:11,884 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2025-12-22 06:21:11,916 | INPUT | INFO | Check that input "Username" has a value "username"
2025-12-22 06:21:11,916 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2025-12-22 06:21:11,928 | INPUT | INFO | Fill input "Password" to value "password"
2025-12-22 06:21:11,928 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2025-12-22 06:21:11,965 | INPUT | INFO | Check that input "Password" has a value "password"
2025-12-22 06:21:11,965 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2025-12-22 06:21:11,980 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-page-registration-button" at index "0"
2025-12-22 06:21:11,980 | BASE_ELEMENT | INFO | Clicking button "Registration"
2025-12-22 06:21:12,538 | BASE_PAGE | INFO | Opening the url "AppRoute.COURSES"
2025-12-22 06:21:14,199 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-app-title-text" at index "0"
2025-12-22 06:21:14,199 | BASE_ELEMENT | INFO | Checking that text "App title" is visible
2025-12-22 06:21:14,235 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-app-title-text" at index "0"
2025-12-22 06:21:14,236 | BASE_ELEMENT | INFO | Checking that text "App title" has text "UI Course"
2025-12-22 06:21:14,250 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-welcome-title-text" at index "0"
2025-12-22 06:21:14,250 | BASE_ELEMENT | INFO | Checking that text "Welcome title" is visible
2025-12-22 06:21:14,264 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-welcome-title-text" at index "0"
2025-12-22 06:21:14,264 | BASE_ELEMENT | INFO | Checking that text "Welcome title" has text "Welcome, username!"
2025-12-22 06:21:14,278 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-icon" at index "0"
2025-12-22 06:21:14,278 | BASE_ELEMENT | INFO | Checking that icon "Sidebar" is visible
2025-12-22 06:21:14,293 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-title-text" at index "0"
2025-12-22 06:21:14,293 | BASE_ELEMENT | INFO | Checking that text "Sidebar" is visible
2025-12-22 06:21:14,307 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-title-text" at index "0"
2025-12-22 06:21:14,307 | BASE_ELEMENT | INFO | Checking that text "Sidebar" has text "Logout"
2025-12-22 06:21:14,322 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-button" at index "0"
2025-12-22 06:21:14,322 | BASE_ELEMENT | INFO | Checking that button "Sidebar" is visible
2025-12-22 06:21:14,338 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-icon" at index "0"
2025-12-22 06:21:14,338 | BASE_ELEMENT | INFO | Checking that icon "Sidebar" is visible
2025-12-22 06:21:14,352 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-title-text" at index "0"
