2025-12-22 06:21:24,462 | BASE_PAGE | INFO | Opening the url "AppRoute.DASHBOARD"
2025-12-22 06:21:25,875 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-app-title-text" at index "0"
2025-12-22 06:21:25,875 | BASE_ELEMENT | INFO | Checking that text "App title" is visible
2025-12-22 06:21:26,033 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-app-title-text" at index "0"
2025-12-22 06:21:26,034 | BASE_ELEMENT | INFO | Checking that text "App title" has text "UI Course"
2025-12-22 06:21:26,082 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-welcome-title-text" at index "0"
2025-12-22 06:21:26,083 | BASE_ELEMENT | INFO | Checking that text "Welcome title" is visible
2025-12-22 06:21:26,102 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-welcome-title-text" at index "0"
2025-12-22 06:21:26,103 | BASE_ELEMENT | INFO | Checking that text "Welcome title" has text "Welcome, username!"
2025-12-22 06:21:26,123 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-icon" at index "0"
2025-12-22 06:21:26,123 | BASE_ELEMENT | INFO | Checking that icon "Sidebar" is visible
2025-12-22 06:21:26,145 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-title-text" at index "0"
2025-12-22 06:21:26,145 | BASE_ELEMENT | INFO | Checking that text "Sidebar" is visible
2025-12-22 06:21:26,161 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-title-text" at index "0"
2025-12-22 06:21:26,161 | BASE_ELEMENT | INFO | Checking that text "Sidebar" has text "Logout"
2025-12-22 06:21:26,179 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-button" at index "0"
2025-12-22 06:21:26,179 | BASE_ELEMENT | INFO | Checking that button "Sidebar" is visible
2025-12-22 06:21:26,200 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-icon" at index "0"
2025-12-22 06:21:26,200 | BASE_ELEMENT | INFO | Checking that icon "Sidebar" is visible
2025-12-22 06:21:26,215 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-title-text" at index "0"
2025-12-22 06:21:26,215 | BASE_ELEMENT | INFO | Checking that text "Sidebar" is visible
2025-12-22 06:21:26,231 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-title-text" at index "0"
2025-12-22 06:21:26,231 | BASE_ELEMENT | INFO | Checking that text "Sidebar" has text "Courses"
2025-12-22 06:21:26,245 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-button" at index "0"
2025-12-22 06:21:26,245 | BASE_ELEMENT | INFO | Checking that button "Sidebar" is visible
2025-12-22 06:21:26,256 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-drawer-list-item-icon" at index "0"
2025-12-22 06:21:26,256 | BASE_ELEMENT | INFO | Checking that icon "Sidebar" is visible
2025-12-22 06:21:26,267 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-drawer-list-item-title-text" at index "0"
2025-12-22 06:21:26,267 | BASE_ELEMENT | INFO | Checking that text "Sidebar" is visible
2025-12-22 06:21:26,278 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-drawer-list-item-title-text" at index "0"
