2025-12-22 06:20:55,193 | BASE_PAGE | INFO | Opening the url "AppRoute.LOGIN"
2025-12-22 06:20:56,913 | INPUT | INFO | Fill input "Email" to value "user.name@gmail.com"
2025-12-22 06:20:56,913 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-email-input" at index "0"
2025-12-22 06:20:57,002 | INPUT | INFO | Check that input "Email" has a value "user.name@gmail.com"
2025-12-22 06:20:57,002 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-email-input" at index "0"
2025-12-22 06:20:57,241 | INPUT | INFO | Fill input "Password" to value "password"
2025-12-22 06:20:57,241 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-password-input" at index "0"
2025-12-22 06:20:57,343 | INPUT | INFO | Check that input "Password" has a value "password"
2025-12-22 06:20:57,343 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-password-input" at index "0"
2025-12-22 06:20:57,358 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-login-button" at index "0"
2025-12-22 06:20:57,358 | BASE_ELEMENT | INFO | Clicking button "Login"
2025-12-22 06:20:57,783 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2025-12-22 06:20:57,783 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" is visible
2025-12-22 06:20:57,811 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2025-12-22 06:20:57,811 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" has text "Wrong email or password"
