2025-12-22 06:21:25,193 | BASE_PAGE | INFO | Opening the url "AppRoute.COURSES_CREATE"
2025-12-22 06:21:26,727 | FILE_INPUT | INFO | Set file "testdata/files/image.png" to the file input "Upload"
2025-12-22 06:21:26,727 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-upload-button" at index "0"
2025-12-22 06:21:26,777 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-icon" at index "0"
2025-12-22 06:21:26,777 | BASE_ELEMENT | INFO | Checking that icon "Image upload info" is visible
2025-12-22 06:21:26,849 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-title-text" at index "0"
2025-12-22 06:21:26,849 | BASE_ELEMENT | INFO | Checking that text "Image upload info" is visible
2025-12-22 06:21:26,934 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-title-text" at index "0"
2025-12-22 06:21:26,934 | BASE_ELEMENT | INFO | Checking that text "Image upload info" has text "Tap on "Upload image" button to select file"
2025-12-22 06:21:26,952 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-description-text" at index "0"
2025-12-22 06:21:26,952 | BASE_ELEMENT | INFO | Checking that text "Image upload info" is visible
2025-12-22 06:21:26,965 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-description-text" at index "0"
2025-12-22 06:21:26,965 | BASE_ELEMENT | INFO | Checking that text "Image upload info" has text "Recommended file size 540X300"
2025-12-22 06:21:26,981 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-upload-button" at index "0"
2025-12-22 06:21:26,981 | BASE_ELEMENT | INFO | Checking that button "Upload" is visible
2025-12-22 06:21:27,005 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-remove-button" at index "0"
2025-12-22 06:21:27,005 | BASE_ELEMENT | INFO | Checking that button "Remove" is visible
2025-12-22 06:21:27,019 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-preview-image" at index "0"
2025-12-22 06:21:27,019 | BASE_ELEMENT | INFO | Checking that image "Preview" is visible
2025-12-22 06:21:27,041 | INPUT | INFO | Fill input "Title" to value "Playwright"
2025-12-22 06:21:27,042 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-title-input" at index "0"
2025-12-22 06:21:27,093 | INPUT | INFO | Check that input "Title" has a value "Playwright"
2025-12-22 06:21:27,093 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-title-input" at index "0"
2025-12-22 06:21:27,108 | INPUT | INFO | Fill input "Estimated time" to value "2 weeks"
2025-12-22 06:21:27,108 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-estimated-time-input" at index "0"
2025-12-22 06:21:27,412 | INPUT | INFO | Check that input "Estimated time" has a value "2 weeks"
2025-12-22 06:21:27,412 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-estimated-time-input" at index "0"
2025-12-22 06:21:27,615 | TEXTAREA | INFO | Fill textarea "Description" to value "Playwright"
2025-12-22 06:21:27,616 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-description-input" at index "0"
2025-12-22 06:21:27,915 | TEXTAREA | INFO | Check have textarea "Description" to value
2025-12-22 06:21:27,916 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-description-input" at index "0"
2025-12-22 06:21:28,070 | INPUT | INFO | Fill input "Max score" to value "100"
2025-12-22 06:21:28,070 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-max-score-input" at index "0"
2025-12-22 06:21:28,225 | INPUT | INFO | Check that input "Max score" has a value "100"
