2025-12-22 06:21:19,576 | BASE_PAGE | INFO | Opening the url "AppRoute.COURSES_CREATE"
2025-12-22 06:21:21,157 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-title-text" at index "0"
2025-12-22 06:21:21,157 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2025-12-22 06:21:21,190 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-title-text" at index "0"
2025-12-22 06:21:21,191 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Create course"
2025-12-22 06:21:21,202 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-create-course-button" at index "0"
2025-12-22 06:21:21,202 | BASE_ELEMENT | INFO | Checking that button "Create course" is visible
2025-12-22 06:21:21,212 | BUTTON | INFO | Checking that button "Create course" is disabled
2025-12-22 06:21:21,212 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-create-course-button" at index "0"
2025-12-22 06:21:21,223 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-icon" at index "0"
2025-12-22 06:21:21,223 | BASE_ELEMENT | INFO | Checking that icon "Image upload info" is visible
2025-12-22 06:21:21,245 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-title-text" at index "0"
2025-12-22 06:21:21,245 | BASE_ELEMENT | INFO | Checking that text "Image upload info" is visible
2025-12-22 06:21:21,256 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-title-text" at index "0"
2025-12-22 06:21:21,257 | BASE_ELEMENT | INFO | Checking that text "Image upload info" has text "Tap on "Upload image" button to select file"
2025-12-22 06:21:21,270 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-description-text" at index "0"
2025-12-22 06:21:21,271 | BASE_ELEMENT | INFO | Checking that text "Image upload info" is visible
2025-12-22 06:21:21,284 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-description-text" at index "0"
2025-12-22 06:21:21,284 | BASE_ELEMENT | INFO | Checking that text "Image upload info" has text "Recommended file size 540X300"
2025-12-22 06:21:21,298 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-upload-button" at index "0"
2025-12-22 06:21:21,298 | BASE_ELEMENT | INFO | Checking that button "Upload" is visible
2025-12-22 06:21:21,309 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-empty-view-icon" at index "0"
2025-12-22 06:21:21,309 | BASE_ELEMENT | INFO | Checking that icon "EmptyView" is visible
2025-12-22 06:21:21,322 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-empty-view-title-text" at index "0"
2025-12-22 06:21:21,322 | BASE_ELEMENT | INFO | Checking that text "EmptyView" is visible
2025-12-22 06:21:21,338 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-empty-view-title-text" at index "0"
2025-12-22 06:21:21,338 | BASE_ELEMENT | INFO | Checking that text "EmptyView" has text "No image selected"
2025-12-22 06:21:21,350 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-empty-view-description-text" at index "0"
2025-12-22 06:21:21,351 | BASE_ELEMENT | INFO | Checking that text "EmptyView" is visible
2025-12-22 06:21:21,369 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-empty-view-description-text" at index "0"
2025-12-22 06:21:21,369 | BASE_ELEMENT | INFO | Checking that text "EmptyView" has text "Preview of selected image will be displayed here"
2025-12-22 06:21:21,385 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-title-input" at index "0"
2025-12-22 06:21:21,385 | BASE_ELEMENT | INFO | Checking that input "Title" is visible
2025-12-22 06:21:21,424 | INPUT | INFO | Check that input "Title" has a value ""
2025-12-22 06:21:21,424 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-title-input" at index "0"
2025-12-22 06:21:21,437 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-estimated-time-input" at index "0"
2025-12-22 06:21:21,437 | BASE_ELEMENT | INFO | Checking that input "Estimated time" is visible
2025-12-22 06:21:21,450 | INPUT | INFO | Check that input "Estimated time" has a value ""
2025-12-22 06:21:21,450 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-estimated-time-input" at index "0"
2025-12-22 06:21:21,464 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-description-input" at index "0"
2025-12-22 06:21:21,464 | BASE_ELEMENT | INFO | Checking that textarea "Description" is visible
2025-12-22 06:21:21,476 | TEXTAREA | INFO | Check have textarea "Description" to value
2025-12-22 06:21:21,476 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-description-input" at index "0"
2025-12-22 06:21:21,490 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-max-score-input" at index "0"
2025-12-22 06:21:21,490 | BASE_ELEMENT | INFO | Checking that input "Max score" is visible
2025-12-22 06:21:21,503 | INPUT | INFO | Check that input "Max score" has a value "0"
2025-12-22 06:21:21,504 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-max-score-input" at index "0"
2025-12-22 06:21:21,521 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-min-score-input" at index "0"
2025-12-22 06:21:21,521 | BASE_ELEMENT | INFO | Checking that input "Min score" is visible
2025-12-22 06:21:21,543 | INPUT | INFO | Check that input "Min score" has a value "0"
2025-12-22 06:21:21,543 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-min-score-input" at index "0"
2025-12-22 06:21:21,559 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-exercises-box-toolbar-title-text" at index "0"
2025-12-22 06:21:21,560 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2025-12-22 06:21:21,577 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-exercises-box-toolbar-title-text" at index "0"
2025-12-22 06:21:21,578 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Exercises"
2025-12-22 06:21:21,590 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-exercises-box-toolbar-create-exercise-button" at index "0"
2025-12-22 06:21:21,590 | BASE_ELEMENT | INFO | Checking that button "Create exercise" is visible
2025-12-22 06:21:21,607 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-exercises-empty-view-icon" at index "0"
2025-12-22 06:21:21,608 | BASE_ELEMENT | INFO | Checking that icon "EmptyView" is visible
2025-12-22 06:21:21,626 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-exercises-empty-view-title-text" at index "0"
2025-12-22 06:21:21,626 | BASE_ELEMENT | INFO | Checking that text "EmptyView" is visible
2025-12-22 06:21:21,650 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-exercises-empty-view-title-text" at index "0"
2025-12-22 06:21:21,650 | BASE_ELEMENT | INFO | Checking that text "EmptyView" has text "There is no exercises"
2025-12-22 06:21:21,670 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-exercises-empty-view-description-text" at index "0"
2025-12-22 06:21:21,670 | BASE_ELEMENT | INFO | Checking that text "EmptyView" is visible
2025-12-22 06:21:21,691 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-exercises-empty-view-description-text" at index "0"
2025-12-22 06:21:21,691 | BASE_ELEMENT | INFO | Checking that text "EmptyView" has text "Click on "Create exercise" button to create new exercise"
2025-12-22 06:21:21,709 | FILE_INPUT | INFO | Set file "testdata/files/image.png" to the file input "Upload"
2025-12-22 06:21:21,709 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-upload-button" at index "0"
2025-12-22 06:21:21,741 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-icon" at index "0"
2025-12-22 06:21:21,741 | BASE_ELEMENT | INFO | Checking that icon "Image upload info" is visible
2025-12-22 06:21:21,866 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-title-text" at index "0"
2025-12-22 06:21:21,866 | BASE_ELEMENT | INFO | Checking that text "Image upload info" is visible
2025-12-22 06:21:21,934 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-title-text" at index "0"
2025-12-22 06:21:21,934 | BASE_ELEMENT | INFO | Checking that text "Image upload info" has text "Tap on "Upload image" button to select file"
2025-12-22 06:21:21,998 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-description-text" at index "0"
2025-12-22 06:21:21,999 | BASE_ELEMENT | INFO | Checking that text "Image upload info" is visible
2025-12-22 06:21:22,021 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-description-text" at index "0"
2025-12-22 06:21:22,021 | BASE_ELEMENT | INFO | Checking that text "Image upload info" has text "Recommended file size 540X300"
2025-12-22 06:21:22,038 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-upload-button" at index "0"
2025-12-22 06:21:22,038 | BASE_ELEMENT | INFO | Checking that button "Upload" is visible
2025-12-22 06:21:22,055 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-remove-button" at index "0"
2025-12-22 06:21:22,056 | BASE_ELEMENT | INFO | Checking that button "Remove" is visible
2025-12-22 06:21:22,090 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-preview-image" at index "0"
2025-12-22 06:21:22,091 | BASE_ELEMENT | INFO | Checking that image "Preview" is visible
2025-12-22 06:21:22,134 | INPUT | INFO | Fill input "Title" to value "Playwright"
2025-12-22 06:21:22,134 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-title-input" at index "0"
