2025-12-22 06:21:15,588 | BASE_PAGE | INFO | Opening the url "AppRoute.COURSES_CREATE"
2025-12-22 06:21:17,104 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-title-text" at index "0"
2025-12-22 06:21:17,105 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2025-12-22 06:21:17,167 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-title-text" at index "0"
2025-12-22 06:21:17,168 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Create course"
2025-12-22 06:21:17,197 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-create-course-button" at index "0"
2025-12-22 06:21:17,197 | BASE_ELEMENT | INFO | Checking that button "Create course" is visible
2025-12-22 06:21:17,223 | BUTTON | INFO | Checking that button "Create course" is disabled
2025-12-22 06:21:17,223 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-create-course-button" at index "0"
2025-12-22 06:21:17,249 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-icon" at index "0"
2025-12-22 06:21:17,249 | BASE_ELEMENT | INFO | Checking that icon "Image upload info" is visible
2025-12-22 06:21:17,267 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-title-text" at index "0"
2025-12-22 06:21:17,267 | BASE_ELEMENT | INFO | Checking that text "Image upload info" is visible
2025-12-22 06:21:17,297 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-title-text" at index "0"
2025-12-22 06:21:17,298 | BASE_ELEMENT | INFO | Checking that text "Image upload info" has text "Tap on "Upload image" button to select file"
2025-12-22 06:21:17,319 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-description-text" at index "0"
2025-12-22 06:21:17,320 | BASE_ELEMENT | INFO | Checking that text "Image upload info" is visible
2025-12-22 06:21:17,350 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-description-text" at index "0"
2025-12-22 06:21:17,350 | BASE_ELEMENT | INFO | Checking that text "Image upload info" has text "Recommended file size 540X300"
2025-12-22 06:21:17,366 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-upload-button" at index "0"
2025-12-22 06:21:17,366 | BASE_ELEMENT | INFO | Checking that button "Upload" is visible
2025-12-22 06:21:17,383 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-empty-view-icon" at index "0"
2025-12-22 06:21:17,383 | BASE_ELEMENT | INFO | Checking that icon "EmptyView" is visible
2025-12-22 06:21:17,407 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-empty-view-title-text" at index "0"
2025-12-22 06:21:17,407 | BASE_ELEMENT | INFO | Checking that text "EmptyView" is visible
2025-12-22 06:21:17,423 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-empty-view-title-text" at index "0"
2025-12-22 06:21:17,423 | BASE_ELEMENT | INFO | Checking that text "EmptyView" has text "No image selected"
2025-12-22 06:21:17,441 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-empty-view-description-text" at index "0"
2025-12-22 06:21:17,441 | BASE_ELEMENT | INFO | Checking that text "EmptyView" is visible
2025-12-22 06:21:17,455 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-empty-view-description-text" at index "0"
2025-12-22 06:21:17,456 | BASE_ELEMENT | INFO | Checking that text "EmptyView" has text "Preview of selected image will be displayed here"
2025-12-22 06:21:17,469 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-title-input" at index "0"
2025-12-22 06:21:17,469 | BASE_ELEMENT | INFO | Checking that input "Title" is visible
2025-12-22 06:21:17,486 | INPUT | INFO | Check that input "Title" has a value ""
2025-12-22 06:21:17,486 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-title-input" at index "0"
