2025-12-22 06:20:47,294 | BASE_PAGE | INFO | Opening the url "AppRoute.LOGIN"
2025-12-22 06:20:48,814 | INPUT | INFO | Fill input "Email" to value "user.name@gmail.com"
2025-12-22 06:20:48,814 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-email-input" at index "0"
2025-12-22 06:20:48,880 | INPUT | INFO | Check that input "Email" has a value "user.name@gmail.com"
2025-12-22 06:20:48,880 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-email-input" at index "0"
2025-12-22 06:20:48,927 | INPUT | INFO | Fill input "Password" to value "password"
2025-12-22 06:20:48,927 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-password-input" at index "0"
2025-12-22 06:20:49,057 | INPUT | INFO | Check that input "Password" has a value "password"
2025-12-22 06:20:49,057 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-password-input" at index "0"
2025-12-22 06:20:49,107 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-login-button" at index "0"
2025-12-22 06:20:49,108 | BASE_ELEMENT | INFO | Clicking button "Login"
2025-12-22 06:20:49,256 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2025-12-22 06:20:49,256 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" is visible
2025-12-22 06:20:49,288 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2025-12-22 06:20:49,289 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" has text "Wrong email or password"
