2026-01-20 19:32:47,917 | BASE_PAGE | INFO | Opening the url "AppRoute.LOGIN"
2026-01-20 19:32:48,975 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-email-input" at index "0"
2026-01-20 19:32:48,975 | INPUT | INFO | Fill input "Email" to value "user.name@gmail.com"
2026-01-20 19:32:49,020 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-email-input" at index "0"
2026-01-20 19:32:49,020 | INPUT | INFO | Checking that input "Email" has a value "user.name@gmail.com"
2026-01-20 19:32:49,035 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-password-input" at index "0"
2026-01-20 19:32:49,035 | INPUT | INFO | Fill input "Password" to value "  "
2026-01-20 19:32:49,073 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-password-input" at index "0"
2026-01-20 19:32:49,073 | INPUT | INFO | Checking that input "Password" has a value "  "
2026-01-20 19:32:49,088 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-login-button" at index "0"
2026-01-20 19:32:49,088 | BASE_ELEMENT | INFO | Clicking button "Login"
2026-01-20 19:32:49,152 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2026-01-20 19:32:49,152 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" is visible
2026-01-20 19:32:49,168 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2026-01-20 19:32:49,168 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" has text "Wrong email or password"
