2026-01-24 12:29:10,379 | BASE_PAGE | INFO | Opening the url "AppRoute.LOGIN"
2026-01-24 12:29:11,700 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-email-input" at index "0"
2026-01-24 12:29:11,700 | INPUT | INFO | Fill input "Email" to value "  "
2026-01-24 12:29:11,760 | UI_COVERAGE_TRACKER_STORAGE | INFO | Results directory does not exist, creating: /home/runner/work/autotests-ui/autotests-ui/coverage-results
2026-01-24 12:29:11,760 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-email-input" at index "0"
2026-01-24 12:29:11,760 | INPUT | INFO | Checking that input "Email" has a value "  "
2026-01-24 12:29:11,790 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-password-input" at index "0"
2026-01-24 12:29:11,790 | INPUT | INFO | Fill input "Password" to value "password"
2026-01-24 12:29:11,879 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-password-input" at index "0"
2026-01-24 12:29:11,879 | INPUT | INFO | Checking that input "Password" has a value "password"
2026-01-24 12:29:11,919 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-login-button" at index "0"
2026-01-24 12:29:11,920 | BASE_ELEMENT | INFO | Clicking button "Login"
2026-01-24 12:29:12,027 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2026-01-24 12:29:12,027 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" is visible
2026-01-24 12:29:12,061 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2026-01-24 12:29:12,061 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" has text "Wrong email or password"
