2025-12-24 17:24:04,027 | BASE_PAGE | INFO | Opening the url "AppRoute.COURSES_CREATE"
2025-12-24 17:24:05,385 | FILE_INPUT | INFO | Set file "testdata/files/image.png" to the file input "Upload"
2025-12-24 17:24:05,385 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-upload-button" at index "0"
2025-12-24 17:24:05,492 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-icon" at index "0"
2025-12-24 17:24:05,493 | BASE_ELEMENT | INFO | Checking that icon "Image upload info" is visible
2025-12-24 17:24:05,517 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-title-text" at index "0"
2025-12-24 17:24:05,517 | BASE_ELEMENT | INFO | Checking that text "Image upload info" is visible
2025-12-24 17:24:05,536 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-title-text" at index "0"
2025-12-24 17:24:05,536 | BASE_ELEMENT | INFO | Checking that text "Image upload info" has text "Tap on "Upload image" button to select file"
2025-12-24 17:24:05,558 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-description-text" at index "0"
2025-12-24 17:24:05,558 | BASE_ELEMENT | INFO | Checking that text "Image upload info" is visible
2025-12-24 17:24:05,574 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-description-text" at index "0"
2025-12-24 17:24:05,574 | BASE_ELEMENT | INFO | Checking that text "Image upload info" has text "Recommended file size 540X300"
2025-12-24 17:24:05,597 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-upload-button" at index "0"
2025-12-24 17:24:05,597 | BASE_ELEMENT | INFO | Checking that button "Upload" is visible
2025-12-24 17:24:05,612 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-remove-button" at index "0"
2025-12-24 17:24:05,612 | BASE_ELEMENT | INFO | Checking that button "Remove" is visible
2025-12-24 17:24:05,625 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-preview-image" at index "0"
2025-12-24 17:24:05,625 | BASE_ELEMENT | INFO | Checking that image "Preview" is visible
2025-12-24 17:24:05,657 | INPUT | INFO | Fill input "Title" to value "Playwright"
2025-12-24 17:24:05,657 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-title-input" at index "0"
2025-12-24 17:24:05,710 | INPUT | INFO | Check that input "Title" has a value "Playwright"
2025-12-24 17:24:05,710 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-title-input" at index "0"
2025-12-24 17:24:05,733 | INPUT | INFO | Fill input "Estimated time" to value "2 weeks"
2025-12-24 17:24:05,734 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-estimated-time-input" at index "0"
2025-12-24 17:24:05,834 | INPUT | INFO | Check that input "Estimated time" has a value "2 weeks"
2025-12-24 17:24:05,834 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-estimated-time-input" at index "0"
2025-12-24 17:24:05,853 | TEXTAREA | INFO | Fill textarea "Description" to value "Playwright"
2025-12-24 17:24:05,854 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-description-input" at index "0"
2025-12-24 17:24:05,927 | TEXTAREA | INFO | Check have textarea "Description" to value
2025-12-24 17:24:05,927 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-description-input" at index "0"
2025-12-24 17:24:05,950 | INPUT | INFO | Fill input "Max score" to value "100"
2025-12-24 17:24:05,950 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-max-score-input" at index "0"
2025-12-24 17:24:06,026 | INPUT | INFO | Check that input "Max score" has a value "100"
