2026-01-21 06:30:57,105 | BASE_PAGE | INFO | Opening the url "AppRoute.COURSES_CREATE"
2026-01-21 06:30:58,302 | FILE_INPUT | INFO | Set file "testdata/files/image.png" to the file input "Upload"
2026-01-21 06:30:58,302 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-upload-button" at index "0"
2026-01-21 06:30:58,341 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-icon" at index "0"
2026-01-21 06:30:58,341 | BASE_ELEMENT | INFO | Checking that icon "Image upload info" is visible
2026-01-21 06:30:58,418 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-title-text" at index "0"
2026-01-21 06:30:58,418 | BASE_ELEMENT | INFO | Checking that text "Image upload info" is visible
2026-01-21 06:30:58,434 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-title-text" at index "0"
2026-01-21 06:30:58,434 | BASE_ELEMENT | INFO | Checking that text "Image upload info" has text "Tap on "Upload image" button to select file"
2026-01-21 06:30:58,461 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-description-text" at index "0"
2026-01-21 06:30:58,462 | BASE_ELEMENT | INFO | Checking that text "Image upload info" is visible
2026-01-21 06:30:58,476 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-description-text" at index "0"
2026-01-21 06:30:58,476 | BASE_ELEMENT | INFO | Checking that text "Image upload info" has text "Recommended file size 540X300"
2026-01-21 06:30:58,513 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-upload-button" at index "0"
2026-01-21 06:30:58,513 | BASE_ELEMENT | INFO | Checking that button "Upload" is visible
2026-01-21 06:30:58,534 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-remove-button" at index "0"
2026-01-21 06:30:58,534 | BASE_ELEMENT | INFO | Checking that button "Remove" is visible
2026-01-21 06:30:58,556 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-preview-image" at index "0"
2026-01-21 06:30:58,556 | BASE_ELEMENT | INFO | Checking that image "Preview" is visible
2026-01-21 06:30:58,601 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-title-input" at index "0"
2026-01-21 06:30:58,601 | INPUT | INFO | Fill input "Title" to value "Playwright"
2026-01-21 06:30:58,643 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-title-input" at index "0"
2026-01-21 06:30:58,644 | INPUT | INFO | Checking that input "Title" has a value "Playwright"
2026-01-21 06:30:58,678 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-estimated-time-input" at index "0"
2026-01-21 06:30:58,678 | INPUT | INFO | Fill input "Estimated time" to value "2 weeks"
2026-01-21 06:30:58,757 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-estimated-time-input" at index "0"
2026-01-21 06:30:58,757 | INPUT | INFO | Checking that input "Estimated time" has a value "2 weeks"
2026-01-21 06:30:58,782 | TEXTAREA | INFO | Fill textarea "Description" to value "Playwright"
2026-01-21 06:30:58,782 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-description-input" at index "0"
2026-01-21 06:30:58,885 | TEXTAREA | INFO | Check have textarea "Description" to value "Playwright"
2026-01-21 06:30:58,885 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-description-input" at index "0"
2026-01-21 06:30:58,918 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-max-score-input" at index "0"
2026-01-21 06:30:58,919 | INPUT | INFO | Fill input "Max score" to value "100"
2026-01-21 06:30:58,982 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-max-score-input" at index "0"
2026-01-21 06:30:58,982 | INPUT | INFO | Checking that input "Max score" has a value "100"
2026-01-21 06:30:59,018 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-min-score-input" at index "0"
2026-01-21 06:30:59,018 | INPUT | INFO | Fill input "Min score" to value "10"
2026-01-21 06:30:59,101 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-min-score-input" at index "0"
2026-01-21 06:30:59,101 | INPUT | INFO | Checking that input "Min score" has a value "10"
2026-01-21 06:30:59,128 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-create-course-button" at index "0"
2026-01-21 06:30:59,128 | BASE_ELEMENT | INFO | Clicking button "Create course"
2026-01-21 06:30:59,255 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-list-toolbar-title-text" at index "0"
2026-01-21 06:30:59,255 | BASE_ELEMENT | INFO | Checking that text "Courses" is visible
2026-01-21 06:30:59,408 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-list-toolbar-title-text" at index "0"
2026-01-21 06:30:59,408 | BASE_ELEMENT | INFO | Checking that text "Courses" has text "Courses"
2026-01-21 06:30:59,446 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-list-toolbar-create-course-button" at index "0"
2026-01-21 06:30:59,446 | BASE_ELEMENT | INFO | Checking that button "Create course" is visible
2026-01-21 06:30:59,461 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-preview-image" at index "0"
2026-01-21 06:30:59,461 | BASE_ELEMENT | INFO | Checking that image "Preview" is visible
