2026-01-20 19:32:45,529 | BASE_PAGE | INFO | Opening the url "AppRoute.LOGIN"
2026-01-20 19:32:47,066 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-email-input" at index "0"
2026-01-20 19:32:47,066 | INPUT | INFO | Fill input "Email" to value "user.name@gmail.com"
2026-01-20 19:32:47,127 | UI_COVERAGE_TRACKER_STORAGE | INFO | Results directory does not exist, creating: /home/runner/work/autotests-ui/autotests-ui/coverage-results
2026-01-20 19:32:47,128 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-email-input" at index "0"
2026-01-20 19:32:47,128 | INPUT | INFO | Checking that input "Email" has a value "user.name@gmail.com"
2026-01-20 19:32:47,161 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-password-input" at index "0"
2026-01-20 19:32:47,162 | INPUT | INFO | Fill input "Password" to value "password"
2026-01-20 19:32:47,267 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-password-input" at index "0"
2026-01-20 19:32:47,268 | INPUT | INFO | Checking that input "Password" has a value "password"
2026-01-20 19:32:47,318 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-login-button" at index "0"
2026-01-20 19:32:47,318 | BASE_ELEMENT | INFO | Clicking button "Login"
2026-01-20 19:32:47,474 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2026-01-20 19:32:47,474 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" is visible
2026-01-20 19:32:47,515 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2026-01-20 19:32:47,515 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" has text "Wrong email or password"
