2026-01-21 06:30:37,824 | BASE_PAGE | INFO | Opening the url "AppRoute.LOGIN"
2026-01-21 06:30:39,194 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-email-input" at index "0"
2026-01-21 06:30:39,194 | INPUT | INFO | Fill input "Email" to value "  "
2026-01-21 06:30:39,265 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-email-input" at index "0"
2026-01-21 06:30:39,265 | INPUT | INFO | Checking that input "Email" has a value "  "
2026-01-21 06:30:39,324 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-password-input" at index "0"
2026-01-21 06:30:39,325 | INPUT | INFO | Fill input "Password" to value "password"
2026-01-21 06:30:39,480 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-password-input" at index "0"
2026-01-21 06:30:39,480 | INPUT | INFO | Checking that input "Password" has a value "password"
2026-01-21 06:30:39,514 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-login-button" at index "0"
2026-01-21 06:30:39,514 | BASE_ELEMENT | INFO | Clicking button "Login"
2026-01-21 06:30:39,742 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2026-01-21 06:30:39,742 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" is visible
2026-01-21 06:30:39,789 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2026-01-21 06:30:39,789 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" has text "Wrong email or password"
