2026-01-24 12:29:17,190 | BASE_PAGE | INFO | Opening the url "AppRoute.REGISTRATION"
2026-01-24 12:29:18,675 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2026-01-24 12:29:18,675 | INPUT | INFO | Fill input "Email" to value "user.name@gmail.com"
2026-01-24 12:29:18,756 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2026-01-24 12:29:18,757 | INPUT | INFO | Checking that input "Email" has a value "user.name@gmail.com"
2026-01-24 12:29:18,784 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2026-01-24 12:29:18,785 | INPUT | INFO | Fill input "Username" to value "username"
2026-01-24 12:29:18,885 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2026-01-24 12:29:18,886 | INPUT | INFO | Checking that input "Username" has a value "username"
2026-01-24 12:29:18,917 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2026-01-24 12:29:18,917 | INPUT | INFO | Fill input "Password" to value "password"
2026-01-24 12:29:19,033 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2026-01-24 12:29:19,033 | INPUT | INFO | Checking that input "Password" has a value "password"
2026-01-24 12:29:19,066 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-page-registration-button" at index "0"
2026-01-24 12:29:19,066 | BASE_ELEMENT | INFO | Clicking button "Registration"
2026-01-24 12:29:19,259 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-toolbar-title-text" at index "0"
2026-01-24 12:29:19,260 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-01-24 12:29:19,680 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-toolbar-title-text" at index "0"
2026-01-24 12:29:19,680 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Dashboard"
2026-01-24 12:29:19,710 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-app-title-text" at index "0"
2026-01-24 12:29:19,710 | BASE_ELEMENT | INFO | Checking that text "App title" is visible
2026-01-24 12:29:19,734 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-app-title-text" at index "0"
2026-01-24 12:29:19,734 | BASE_ELEMENT | INFO | Checking that text "App title" has text "UI Course"
2026-01-24 12:29:19,757 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-welcome-title-text" at index "0"
2026-01-24 12:29:19,757 | BASE_ELEMENT | INFO | Checking that text "Welcome title" is visible
2026-01-24 12:29:19,779 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-welcome-title-text" at index "0"
2026-01-24 12:29:19,781 | BASE_ELEMENT | INFO | Checking that text "Welcome title" has text "Welcome, username!"
2026-01-24 12:29:19,808 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-icon" at index "0"
2026-01-24 12:29:19,809 | BASE_ELEMENT | INFO | Checking that icon "Sidebar" is visible
2026-01-24 12:29:19,823 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-title-text" at index "0"
2026-01-24 12:29:19,823 | BASE_ELEMENT | INFO | Checking that text "Sidebar" is visible
2026-01-24 12:29:19,845 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-title-text" at index "0"
2026-01-24 12:29:19,845 | BASE_ELEMENT | INFO | Checking that text "Sidebar" has text "Logout"
2026-01-24 12:29:19,863 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-button" at index "0"
2026-01-24 12:29:19,864 | BASE_ELEMENT | INFO | Checking that button "Sidebar" is visible
2026-01-24 12:29:19,880 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-icon" at index "0"
2026-01-24 12:29:19,880 | BASE_ELEMENT | INFO | Checking that icon "Sidebar" is visible
2026-01-24 12:29:19,898 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-title-text" at index "0"
2026-01-24 12:29:19,898 | BASE_ELEMENT | INFO | Checking that text "Sidebar" is visible
2026-01-24 12:29:19,915 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-title-text" at index "0"
2026-01-24 12:29:19,915 | BASE_ELEMENT | INFO | Checking that text "Sidebar" has text "Courses"
2026-01-24 12:29:19,933 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-button" at index "0"
2026-01-24 12:29:19,933 | BASE_ELEMENT | INFO | Checking that button "Sidebar" is visible
2026-01-24 12:29:19,950 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-drawer-list-item-icon" at index "0"
2026-01-24 12:29:19,950 | BASE_ELEMENT | INFO | Checking that icon "Sidebar" is visible
2026-01-24 12:29:19,963 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-drawer-list-item-title-text" at index "0"
2026-01-24 12:29:19,963 | BASE_ELEMENT | INFO | Checking that text "Sidebar" is visible
2026-01-24 12:29:19,979 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-drawer-list-item-title-text" at index "0"
2026-01-24 12:29:19,979 | BASE_ELEMENT | INFO | Checking that text "Sidebar" has text "Dashboard"
2026-01-24 12:29:20,005 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-drawer-list-item-button" at index "0"
2026-01-24 12:29:20,006 | BASE_ELEMENT | INFO | Checking that button "Sidebar" is visible
2026-01-24 12:29:20,024 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-button" at index "0"
2026-01-24 12:29:20,024 | BASE_ELEMENT | INFO | Clicking button "Sidebar"
2026-01-24 12:29:20,494 | BASE_COMPONENT | INFO | Checking that current url matches pattern ".*/#/auth/login"
2026-01-24 12:29:20,536 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-email-input" at index "0"
2026-01-24 12:29:20,538 | INPUT | INFO | Fill input "Email" to value "user.name@gmail.com"
2026-01-24 12:29:20,656 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-email-input" at index "0"
2026-01-24 12:29:20,657 | INPUT | INFO | Checking that input "Email" has a value "user.name@gmail.com"
2026-01-24 12:29:20,707 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-password-input" at index "0"
2026-01-24 12:29:20,707 | INPUT | INFO | Fill input "Password" to value "password"
2026-01-24 12:29:20,785 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-password-input" at index "0"
2026-01-24 12:29:20,785 | INPUT | INFO | Checking that input "Password" has a value "password"
2026-01-24 12:29:20,807 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-login-button" at index "0"
2026-01-24 12:29:20,807 | BASE_ELEMENT | INFO | Clicking button "Login"
2026-01-24 12:29:20,958 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-toolbar-title-text" at index "0"
2026-01-24 12:29:20,958 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-01-24 12:29:20,973 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-toolbar-title-text" at index "0"
2026-01-24 12:29:20,973 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Dashboard"
2026-01-24 12:29:20,989 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-app-title-text" at index "0"
2026-01-24 12:29:20,989 | BASE_ELEMENT | INFO | Checking that text "App title" is visible
2026-01-24 12:29:21,002 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-app-title-text" at index "0"
2026-01-24 12:29:21,002 | BASE_ELEMENT | INFO | Checking that text "App title" has text "UI Course"
2026-01-24 12:29:21,015 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-welcome-title-text" at index "0"
2026-01-24 12:29:21,015 | BASE_ELEMENT | INFO | Checking that text "Welcome title" is visible
2026-01-24 12:29:21,031 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-welcome-title-text" at index "0"
2026-01-24 12:29:21,032 | BASE_ELEMENT | INFO | Checking that text "Welcome title" has text "Welcome, username!"
2026-01-24 12:29:21,053 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-icon" at index "0"
2026-01-24 12:29:21,054 | BASE_ELEMENT | INFO | Checking that icon "Sidebar" is visible
2026-01-24 12:29:21,067 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-title-text" at index "0"
2026-01-24 12:29:21,067 | BASE_ELEMENT | INFO | Checking that text "Sidebar" is visible
2026-01-24 12:29:21,080 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-title-text" at index "0"
2026-01-24 12:29:21,080 | BASE_ELEMENT | INFO | Checking that text "Sidebar" has text "Logout"
2026-01-24 12:29:21,093 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-button" at index "0"
2026-01-24 12:29:21,093 | BASE_ELEMENT | INFO | Checking that button "Sidebar" is visible
2026-01-24 12:29:21,107 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-icon" at index "0"
2026-01-24 12:29:21,107 | BASE_ELEMENT | INFO | Checking that icon "Sidebar" is visible
2026-01-24 12:29:21,120 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-title-text" at index "0"
2026-01-24 12:29:21,120 | BASE_ELEMENT | INFO | Checking that text "Sidebar" is visible
2026-01-24 12:29:21,133 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-title-text" at index "0"
2026-01-24 12:29:21,134 | BASE_ELEMENT | INFO | Checking that text "Sidebar" has text "Courses"
2026-01-24 12:29:21,146 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-button" at index "0"
2026-01-24 12:29:21,146 | BASE_ELEMENT | INFO | Checking that button "Sidebar" is visible
2026-01-24 12:29:21,164 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-drawer-list-item-icon" at index "0"
2026-01-24 12:29:21,164 | BASE_ELEMENT | INFO | Checking that icon "Sidebar" is visible
2026-01-24 12:29:21,184 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-drawer-list-item-title-text" at index "0"
2026-01-24 12:29:21,184 | BASE_ELEMENT | INFO | Checking that text "Sidebar" is visible
2026-01-24 12:29:21,197 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-drawer-list-item-title-text" at index "0"
2026-01-24 12:29:21,197 | BASE_ELEMENT | INFO | Checking that text "Sidebar" has text "Dashboard"
2026-01-24 12:29:21,207 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-drawer-list-item-button" at index "0"
2026-01-24 12:29:21,207 | BASE_ELEMENT | INFO | Checking that button "Sidebar" is visible
