2026-01-21 06:24:03,476 | BASE_PAGE | INFO | Opening the url "AppRoute.COURSES_CREATE"
2026-01-21 06:24:04,602 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-title-text" at index "0"
2026-01-21 06:24:04,603 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-01-21 06:24:04,650 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-title-text" at index "0"
2026-01-21 06:24:04,651 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Create course"
2026-01-21 06:24:04,665 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-create-course-button" at index "0"
2026-01-21 06:24:04,665 | BASE_ELEMENT | INFO | Checking that button "Create course" is visible
2026-01-21 06:24:04,681 | BUTTON | INFO | Checking that button "Create course" is disabled
2026-01-21 06:24:04,681 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-create-course-button" at index "0"
2026-01-21 06:24:04,700 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-icon" at index "0"
2026-01-21 06:24:04,700 | BASE_ELEMENT | INFO | Checking that icon "Image upload info" is visible
2026-01-21 06:24:04,718 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-title-text" at index "0"
2026-01-21 06:24:04,718 | BASE_ELEMENT | INFO | Checking that text "Image upload info" is visible
2026-01-21 06:24:04,733 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-title-text" at index "0"
2026-01-21 06:24:04,733 | BASE_ELEMENT | INFO | Checking that text "Image upload info" has text "Tap on "Upload image" button to select file"
2026-01-21 06:24:04,749 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-description-text" at index "0"
2026-01-21 06:24:04,749 | BASE_ELEMENT | INFO | Checking that text "Image upload info" is visible
2026-01-21 06:24:04,765 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-description-text" at index "0"
2026-01-21 06:24:04,765 | BASE_ELEMENT | INFO | Checking that text "Image upload info" has text "Recommended file size 540X300"
2026-01-21 06:24:04,781 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-upload-button" at index "0"
2026-01-21 06:24:04,781 | BASE_ELEMENT | INFO | Checking that button "Upload" is visible
2026-01-21 06:24:04,798 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-empty-view-icon" at index "0"
2026-01-21 06:24:04,798 | BASE_ELEMENT | INFO | Checking that icon "EmptyView" is visible
2026-01-21 06:24:04,841 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-empty-view-title-text" at index "0"
2026-01-21 06:24:04,841 | BASE_ELEMENT | INFO | Checking that text "EmptyView" is visible
2026-01-21 06:24:04,856 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-empty-view-title-text" at index "0"
2026-01-21 06:24:04,856 | BASE_ELEMENT | INFO | Checking that text "EmptyView" has text "No image selected"
2026-01-21 06:24:04,868 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-empty-view-description-text" at index "0"
2026-01-21 06:24:04,868 | BASE_ELEMENT | INFO | Checking that text "EmptyView" is visible
2026-01-21 06:24:04,882 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-empty-view-description-text" at index "0"
2026-01-21 06:24:04,882 | BASE_ELEMENT | INFO | Checking that text "EmptyView" has text "Preview of selected image will be displayed here"
2026-01-21 06:24:04,896 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-title-input" at index "0"
2026-01-21 06:24:04,896 | BASE_ELEMENT | INFO | Checking that input "Title" is visible
2026-01-21 06:24:04,913 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-title-input" at index "0"
2026-01-21 06:24:04,913 | INPUT | INFO | Checking that input "Title" has a value ""
2026-01-21 06:24:04,930 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-estimated-time-input" at index "0"
2026-01-21 06:24:04,930 | BASE_ELEMENT | INFO | Checking that input "Estimated time" is visible
2026-01-21 06:24:04,948 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-estimated-time-input" at index "0"
