2026-01-21 06:08:37,838 | BASE_PAGE | INFO | Opening the url "AppRoute.DASHBOARD"
2026-01-21 06:08:39,100 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-app-title-text" at index "0"
2026-01-21 06:08:39,101 | BASE_ELEMENT | INFO | Checking that text "App title" is visible
2026-01-21 06:08:39,148 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-app-title-text" at index "0"
2026-01-21 06:08:39,148 | BASE_ELEMENT | INFO | Checking that text "App title" has text "UI Course"
2026-01-21 06:08:39,162 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-welcome-title-text" at index "0"
2026-01-21 06:08:39,162 | BASE_ELEMENT | INFO | Checking that text "Welcome title" is visible
2026-01-21 06:08:39,174 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-welcome-title-text" at index "0"
2026-01-21 06:08:39,174 | BASE_ELEMENT | INFO | Checking that text "Welcome title" has text "Welcome, username!"
2026-01-21 06:08:39,184 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-icon" at index "0"
2026-01-21 06:08:39,184 | BASE_ELEMENT | INFO | Checking that icon "Sidebar" is visible
2026-01-21 06:08:39,194 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-title-text" at index "0"
2026-01-21 06:08:39,194 | BASE_ELEMENT | INFO | Checking that text "Sidebar" is visible
2026-01-21 06:08:39,203 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-title-text" at index "0"
2026-01-21 06:08:39,203 | BASE_ELEMENT | INFO | Checking that text "Sidebar" has text "Logout"
2026-01-21 06:08:39,213 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-button" at index "0"
2026-01-21 06:08:39,213 | BASE_ELEMENT | INFO | Checking that button "Sidebar" is visible
2026-01-21 06:08:39,224 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-icon" at index "0"
2026-01-21 06:08:39,224 | BASE_ELEMENT | INFO | Checking that icon "Sidebar" is visible
2026-01-21 06:08:39,237 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-title-text" at index "0"
2026-01-21 06:08:39,237 | BASE_ELEMENT | INFO | Checking that text "Sidebar" is visible
2026-01-21 06:08:39,265 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-title-text" at index "0"
2026-01-21 06:08:39,265 | BASE_ELEMENT | INFO | Checking that text "Sidebar" has text "Courses"
2026-01-21 06:08:39,289 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-button" at index "0"
2026-01-21 06:08:39,289 | BASE_ELEMENT | INFO | Checking that button "Sidebar" is visible
2026-01-21 06:08:39,309 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-drawer-list-item-icon" at index "0"
2026-01-21 06:08:39,309 | BASE_ELEMENT | INFO | Checking that icon "Sidebar" is visible
2026-01-21 06:08:39,328 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-drawer-list-item-title-text" at index "0"
2026-01-21 06:08:39,328 | BASE_ELEMENT | INFO | Checking that text "Sidebar" is visible
2026-01-21 06:08:39,343 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-drawer-list-item-title-text" at index "0"
2026-01-21 06:08:39,343 | BASE_ELEMENT | INFO | Checking that text "Sidebar" has text "Dashboard"
2026-01-21 06:08:39,361 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-drawer-list-item-button" at index "0"
2026-01-21 06:08:39,361 | BASE_ELEMENT | INFO | Checking that button "Sidebar" is visible
2026-01-21 06:08:39,381 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-toolbar-title-text" at index "0"
2026-01-21 06:08:39,381 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-01-21 06:08:39,410 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-toolbar-title-text" at index "0"
2026-01-21 06:08:39,410 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Dashboard"
2026-01-21 06:08:39,432 | BASE_ELEMENT | INFO | Getting locator with "data-testid=scores-widget-title-text" at index "0"
2026-01-21 06:08:39,432 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-01-21 06:08:39,455 | BASE_ELEMENT | INFO | Getting locator with "data-testid=scores-widget-title-text" at index "0"
2026-01-21 06:08:39,456 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Scores"
2026-01-21 06:08:39,478 | BASE_ELEMENT | INFO | Getting locator with "data-testid=scores-scatter-chart" at index "0"
2026-01-21 06:08:39,478 | BASE_ELEMENT | INFO | Checking that image "Chart" is visible
2026-01-21 06:08:39,499 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-widget-title-text" at index "0"
2026-01-21 06:08:39,499 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-01-21 06:08:39,523 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-widget-title-text" at index "0"
2026-01-21 06:08:39,523 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Courses"
2026-01-21 06:08:39,546 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-pie-chart" at index "0"
2026-01-21 06:08:39,547 | BASE_ELEMENT | INFO | Checking that image "Chart" is visible
2026-01-21 06:08:39,566 | BASE_ELEMENT | INFO | Getting locator with "data-testid=students-widget-title-text" at index "0"
2026-01-21 06:08:39,566 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-01-21 06:08:39,588 | BASE_ELEMENT | INFO | Getting locator with "data-testid=students-widget-title-text" at index "0"
2026-01-21 06:08:39,588 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Students"
2026-01-21 06:08:39,611 | BASE_ELEMENT | INFO | Getting locator with "data-testid=students-bar-chart" at index "0"
2026-01-21 06:08:39,611 | BASE_ELEMENT | INFO | Checking that image "Chart" is visible
2026-01-21 06:08:39,638 | BASE_ELEMENT | INFO | Getting locator with "data-testid=activities-widget-title-text" at index "0"
2026-01-21 06:08:39,638 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
