2026-01-21 06:08:32,557 | BASE_PAGE | INFO | Opening the url "AppRoute.COURSES_CREATE"
2026-01-21 06:08:33,702 | FILE_INPUT | INFO | Set file "testdata/files/image.png" to the file input "Upload"
2026-01-21 06:08:33,702 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-upload-button" at index "0"
2026-01-21 06:08:33,784 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-icon" at index "0"
2026-01-21 06:08:33,784 | BASE_ELEMENT | INFO | Checking that icon "Image upload info" is visible
2026-01-21 06:08:33,802 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-title-text" at index "0"
2026-01-21 06:08:33,802 | BASE_ELEMENT | INFO | Checking that text "Image upload info" is visible
2026-01-21 06:08:33,817 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-title-text" at index "0"
2026-01-21 06:08:33,817 | BASE_ELEMENT | INFO | Checking that text "Image upload info" has text "Tap on "Upload image" button to select file"
2026-01-21 06:08:33,841 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-description-text" at index "0"
2026-01-21 06:08:33,841 | BASE_ELEMENT | INFO | Checking that text "Image upload info" is visible
2026-01-21 06:08:33,878 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-description-text" at index "0"
2026-01-21 06:08:33,878 | BASE_ELEMENT | INFO | Checking that text "Image upload info" has text "Recommended file size 540X300"
2026-01-21 06:08:33,886 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-upload-button" at index "0"
2026-01-21 06:08:33,886 | BASE_ELEMENT | INFO | Checking that button "Upload" is visible
2026-01-21 06:08:33,896 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-remove-button" at index "0"
2026-01-21 06:08:33,896 | BASE_ELEMENT | INFO | Checking that button "Remove" is visible
2026-01-21 06:08:33,907 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-preview-image" at index "0"
2026-01-21 06:08:33,907 | BASE_ELEMENT | INFO | Checking that image "Preview" is visible
2026-01-21 06:08:33,927 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-title-input" at index "0"
2026-01-21 06:08:33,927 | INPUT | INFO | Fill input "Title" to value "Playwright"
2026-01-21 06:08:33,961 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-title-input" at index "0"
2026-01-21 06:08:33,962 | INPUT | INFO | Checking that input "Title" has a value "Playwright"
2026-01-21 06:08:33,975 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-estimated-time-input" at index "0"
2026-01-21 06:08:33,975 | INPUT | INFO | Fill input "Estimated time" to value "2 weeks"
2026-01-21 06:08:34,034 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-estimated-time-input" at index "0"
2026-01-21 06:08:34,034 | INPUT | INFO | Checking that input "Estimated time" has a value "2 weeks"
2026-01-21 06:08:34,055 | TEXTAREA | INFO | Fill textarea "Description" to value "Playwright"
2026-01-21 06:08:34,055 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-description-input" at index "0"
