2025-12-24 17:24:14,772 | BASE_PAGE | INFO | Opening the url "AppRoute.DASHBOARD"
2025-12-24 17:24:16,226 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-app-title-text" at index "0"
2025-12-24 17:24:16,226 | BASE_ELEMENT | INFO | Checking that text "App title" is visible
2025-12-24 17:24:16,261 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-app-title-text" at index "0"
2025-12-24 17:24:16,261 | BASE_ELEMENT | INFO | Checking that text "App title" has text "UI Course"
2025-12-24 17:24:16,273 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-welcome-title-text" at index "0"
2025-12-24 17:24:16,273 | BASE_ELEMENT | INFO | Checking that text "Welcome title" is visible
2025-12-24 17:24:16,284 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-welcome-title-text" at index "0"
2025-12-24 17:24:16,284 | BASE_ELEMENT | INFO | Checking that text "Welcome title" has text "Welcome, username!"
2025-12-24 17:24:16,298 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-icon" at index "0"
2025-12-24 17:24:16,298 | BASE_ELEMENT | INFO | Checking that icon "Sidebar" is visible
2025-12-24 17:24:16,309 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-title-text" at index "0"
2025-12-24 17:24:16,309 | BASE_ELEMENT | INFO | Checking that text "Sidebar" is visible
2025-12-24 17:24:16,319 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-title-text" at index "0"
2025-12-24 17:24:16,319 | BASE_ELEMENT | INFO | Checking that text "Sidebar" has text "Logout"
2025-12-24 17:24:16,327 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-button" at index "0"
2025-12-24 17:24:16,328 | BASE_ELEMENT | INFO | Checking that button "Sidebar" is visible
2025-12-24 17:24:16,337 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-icon" at index "0"
2025-12-24 17:24:16,337 | BASE_ELEMENT | INFO | Checking that icon "Sidebar" is visible
2025-12-24 17:24:16,347 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-title-text" at index "0"
2025-12-24 17:24:16,347 | BASE_ELEMENT | INFO | Checking that text "Sidebar" is visible
2025-12-24 17:24:16,356 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-title-text" at index "0"
2025-12-24 17:24:16,356 | BASE_ELEMENT | INFO | Checking that text "Sidebar" has text "Courses"
2025-12-24 17:24:16,366 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-button" at index "0"
2025-12-24 17:24:16,366 | BASE_ELEMENT | INFO | Checking that button "Sidebar" is visible
2025-12-24 17:24:16,375 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-drawer-list-item-icon" at index "0"
2025-12-24 17:24:16,375 | BASE_ELEMENT | INFO | Checking that icon "Sidebar" is visible
2025-12-24 17:24:16,385 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-drawer-list-item-title-text" at index "0"
2025-12-24 17:24:16,385 | BASE_ELEMENT | INFO | Checking that text "Sidebar" is visible
2025-12-24 17:24:16,395 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-drawer-list-item-title-text" at index "0"
2025-12-24 17:24:16,395 | BASE_ELEMENT | INFO | Checking that text "Sidebar" has text "Dashboard"
2025-12-24 17:24:16,405 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-drawer-list-item-button" at index "0"
2025-12-24 17:24:16,405 | BASE_ELEMENT | INFO | Checking that button "Sidebar" is visible
2025-12-24 17:24:16,415 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-toolbar-title-text" at index "0"
2025-12-24 17:24:16,415 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2025-12-24 17:24:16,424 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-toolbar-title-text" at index "0"
2025-12-24 17:24:16,424 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Dashboard"
2025-12-24 17:24:16,435 | BASE_ELEMENT | INFO | Getting locator with "data-testid=scores-widget-title-text" at index "0"
2025-12-24 17:24:16,435 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
