2026-01-21 06:23:38,549 | BASE_PAGE | INFO | Opening the url "AppRoute.LOGIN"
2026-01-21 06:23:40,253 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-email-input" at index "0"
2026-01-21 06:23:40,253 | INPUT | INFO | Fill input "Email" to value "user.name@gmail.com"
2026-01-21 06:23:40,340 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-email-input" at index "0"
2026-01-21 06:23:40,340 | INPUT | INFO | Checking that input "Email" has a value "user.name@gmail.com"
2026-01-21 06:23:40,387 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-password-input" at index "0"
2026-01-21 06:23:40,387 | INPUT | INFO | Fill input "Password" to value "password"
2026-01-21 06:23:40,473 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-password-input" at index "0"
2026-01-21 06:23:40,474 | INPUT | INFO | Checking that input "Password" has a value "password"
2026-01-21 06:23:40,505 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-login-button" at index "0"
2026-01-21 06:23:40,505 | BASE_ELEMENT | INFO | Clicking button "Login"
2026-01-21 06:23:40,633 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2026-01-21 06:23:40,633 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" is visible
2026-01-21 06:23:40,676 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2026-01-21 06:23:40,676 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" has text "Wrong email or password"
