2026-01-21 06:23:45,673 | BASE_PAGE | INFO | Opening the url "AppRoute.LOGIN"
2026-01-21 06:23:47,278 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-email-input" at index "0"
2026-01-21 06:23:47,278 | INPUT | INFO | Fill input "Email" to value "user.name@gmail.com"
2026-01-21 06:23:47,365 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-email-input" at index "0"
2026-01-21 06:23:47,365 | INPUT | INFO | Checking that input "Email" has a value "user.name@gmail.com"
2026-01-21 06:23:47,419 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-password-input" at index "0"
2026-01-21 06:23:47,419 | INPUT | INFO | Fill input "Password" to value "  "
2026-01-21 06:23:47,538 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-password-input" at index "0"
2026-01-21 06:23:47,539 | INPUT | INFO | Checking that input "Password" has a value "  "
2026-01-21 06:23:47,592 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-login-button" at index "0"
2026-01-21 06:23:47,594 | BASE_ELEMENT | INFO | Clicking button "Login"
2026-01-21 06:23:47,786 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2026-01-21 06:23:47,786 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" is visible
2026-01-21 06:23:47,803 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2026-01-21 06:23:47,803 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" has text "Wrong email or password"
