2026-01-24 12:29:27,315 | BASE_PAGE | INFO | Opening the url "AppRoute.REGISTRATION"
2026-01-24 12:29:28,355 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2026-01-24 12:29:28,355 | INPUT | INFO | Fill input "Email" to value "user.name@gmail.com"
2026-01-24 12:29:28,394 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2026-01-24 12:29:28,394 | INPUT | INFO | Checking that input "Email" has a value "user.name@gmail.com"
2026-01-24 12:29:28,403 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2026-01-24 12:29:28,403 | INPUT | INFO | Fill input "Username" to value "username"
2026-01-24 12:29:28,420 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2026-01-24 12:29:28,420 | INPUT | INFO | Checking that input "Username" has a value "username"
2026-01-24 12:29:28,427 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2026-01-24 12:29:28,427 | INPUT | INFO | Fill input "Password" to value "password"
2026-01-24 12:29:28,441 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2026-01-24 12:29:28,441 | INPUT | INFO | Checking that input "Password" has a value "password"
2026-01-24 12:29:28,450 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-page-registration-button" at index "0"
2026-01-24 12:29:28,450 | BASE_ELEMENT | INFO | Clicking button "Registration"
2026-01-24 12:29:28,690 | BASE_PAGE | INFO | Opening the url "AppRoute.COURSES"
2026-01-24 12:29:30,036 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-app-title-text" at index "0"
2026-01-24 12:29:30,036 | BASE_ELEMENT | INFO | Checking that text "App title" is visible
2026-01-24 12:29:30,072 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-app-title-text" at index "0"
2026-01-24 12:29:30,072 | BASE_ELEMENT | INFO | Checking that text "App title" has text "UI Course"
2026-01-24 12:29:30,091 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-welcome-title-text" at index "0"
2026-01-24 12:29:30,091 | BASE_ELEMENT | INFO | Checking that text "Welcome title" is visible
2026-01-24 12:29:30,103 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-welcome-title-text" at index "0"
2026-01-24 12:29:30,104 | BASE_ELEMENT | INFO | Checking that text "Welcome title" has text "Welcome, username!"
2026-01-24 12:29:30,115 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-icon" at index "0"
2026-01-24 12:29:30,115 | BASE_ELEMENT | INFO | Checking that icon "Sidebar" is visible
2026-01-24 12:29:30,124 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-title-text" at index "0"
2026-01-24 12:29:30,124 | BASE_ELEMENT | INFO | Checking that text "Sidebar" is visible
2026-01-24 12:29:30,135 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-title-text" at index "0"
2026-01-24 12:29:30,135 | BASE_ELEMENT | INFO | Checking that text "Sidebar" has text "Logout"
2026-01-24 12:29:30,143 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-button" at index "0"
2026-01-24 12:29:30,143 | BASE_ELEMENT | INFO | Checking that button "Sidebar" is visible
2026-01-24 12:29:30,155 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-icon" at index "0"
2026-01-24 12:29:30,155 | BASE_ELEMENT | INFO | Checking that icon "Sidebar" is visible
2026-01-24 12:29:30,162 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-title-text" at index "0"
2026-01-24 12:29:30,163 | BASE_ELEMENT | INFO | Checking that text "Sidebar" is visible
2026-01-24 12:29:30,171 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-title-text" at index "0"
2026-01-24 12:29:30,171 | BASE_ELEMENT | INFO | Checking that text "Sidebar" has text "Courses"
2026-01-24 12:29:30,180 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-button" at index "0"
2026-01-24 12:29:30,180 | BASE_ELEMENT | INFO | Checking that button "Sidebar" is visible
2026-01-24 12:29:30,188 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-drawer-list-item-icon" at index "0"
2026-01-24 12:29:30,188 | BASE_ELEMENT | INFO | Checking that icon "Sidebar" is visible
2026-01-24 12:29:30,199 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-drawer-list-item-title-text" at index "0"
2026-01-24 12:29:30,199 | BASE_ELEMENT | INFO | Checking that text "Sidebar" is visible
2026-01-24 12:29:30,210 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-drawer-list-item-title-text" at index "0"
2026-01-24 12:29:30,210 | BASE_ELEMENT | INFO | Checking that text "Sidebar" has text "Dashboard"
2026-01-24 12:29:30,223 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-drawer-list-item-button" at index "0"
2026-01-24 12:29:30,223 | BASE_ELEMENT | INFO | Checking that button "Sidebar" is visible
2026-01-24 12:29:30,234 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-list-toolbar-title-text" at index "0"
2026-01-24 12:29:30,234 | BASE_ELEMENT | INFO | Checking that text "Courses" is visible
2026-01-24 12:29:30,245 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-list-toolbar-title-text" at index "0"
2026-01-24 12:29:30,246 | BASE_ELEMENT | INFO | Checking that text "Courses" has text "Courses"
2026-01-24 12:29:30,257 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-list-toolbar-create-course-button" at index "0"
2026-01-24 12:29:30,257 | BASE_ELEMENT | INFO | Checking that button "Create course" is visible
2026-01-24 12:29:30,265 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-list-empty-view-icon" at index "0"
2026-01-24 12:29:30,265 | BASE_ELEMENT | INFO | Checking that icon "EmptyView" is visible
2026-01-24 12:29:30,273 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-list-empty-view-title-text" at index "0"
2026-01-24 12:29:30,273 | BASE_ELEMENT | INFO | Checking that text "EmptyView" is visible
2026-01-24 12:29:30,281 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-list-empty-view-title-text" at index "0"
2026-01-24 12:29:30,281 | BASE_ELEMENT | INFO | Checking that text "EmptyView" has text "There is no results"
2026-01-24 12:29:30,292 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-list-empty-view-description-text" at index "0"
2026-01-24 12:29:30,292 | BASE_ELEMENT | INFO | Checking that text "EmptyView" is visible
2026-01-24 12:29:30,299 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-list-empty-view-description-text" at index "0"
2026-01-24 12:29:30,300 | BASE_ELEMENT | INFO | Checking that text "EmptyView" has text "Results from the load test pipeline will be displayed here"
