2026-01-20 19:33:01,685 | BASE_PAGE | INFO | Opening the url "AppRoute.REGISTRATION"
2026-01-20 19:33:02,844 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2026-01-20 19:33:02,844 | INPUT | INFO | Fill input "Email" to value "user.name@gmail.com"
2026-01-20 19:33:02,891 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2026-01-20 19:33:02,891 | INPUT | INFO | Checking that input "Email" has a value "user.name@gmail.com"
2026-01-20 19:33:02,908 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2026-01-20 19:33:02,908 | INPUT | INFO | Fill input "Username" to value "username"
2026-01-20 19:33:02,943 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2026-01-20 19:33:02,944 | INPUT | INFO | Checking that input "Username" has a value "username"
2026-01-20 19:33:02,957 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2026-01-20 19:33:02,958 | INPUT | INFO | Fill input "Password" to value "password"
2026-01-20 19:33:02,983 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2026-01-20 19:33:02,984 | INPUT | INFO | Checking that input "Password" has a value "password"
2026-01-20 19:33:03,001 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-page-registration-button" at index "0"
2026-01-20 19:33:03,001 | BASE_ELEMENT | INFO | Clicking button "Registration"
2026-01-20 19:33:03,086 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-toolbar-title-text" at index "0"
2026-01-20 19:33:03,086 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-01-20 19:33:03,322 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-toolbar-title-text" at index "0"
2026-01-20 19:33:03,323 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Dashboard"
