2026-01-24 12:29:25,060 | BASE_PAGE | INFO | Opening the url "AppRoute.REGISTRATION"
2026-01-24 12:29:26,226 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2026-01-24 12:29:26,226 | INPUT | INFO | Fill input "Email" to value "user.name@gmail.com"
2026-01-24 12:29:26,319 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2026-01-24 12:29:26,320 | INPUT | INFO | Checking that input "Email" has a value "user.name@gmail.com"
2026-01-24 12:29:26,364 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2026-01-24 12:29:26,365 | INPUT | INFO | Fill input "Username" to value "username"
2026-01-24 12:29:26,452 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2026-01-24 12:29:26,452 | INPUT | INFO | Checking that input "Username" has a value "username"
2026-01-24 12:29:26,482 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2026-01-24 12:29:26,482 | INPUT | INFO | Fill input "Password" to value "password"
2026-01-24 12:29:26,571 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2026-01-24 12:29:26,571 | INPUT | INFO | Checking that input "Password" has a value "password"
2026-01-24 12:29:26,607 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-page-registration-button" at index "0"
2026-01-24 12:29:26,607 | BASE_ELEMENT | INFO | Clicking button "Registration"
2026-01-24 12:29:26,759 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-toolbar-title-text" at index "0"
2026-01-24 12:29:26,759 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-01-24 12:29:27,008 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-toolbar-title-text" at index "0"
2026-01-24 12:29:27,008 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Dashboard"
