2026-01-21 06:49:51,300 | BASE_PAGE | INFO | Opening the url "AppRoute.COURSES_CREATE"
2026-01-21 06:49:52,492 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-title-text" at index "0"
2026-01-21 06:49:52,492 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-01-21 06:49:52,528 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-title-text" at index "0"
2026-01-21 06:49:52,529 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Create course"
2026-01-21 06:49:52,543 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-create-course-button" at index "0"
2026-01-21 06:49:52,543 | BASE_ELEMENT | INFO | Checking that button "Create course" is visible
2026-01-21 06:49:52,555 | BUTTON | INFO | Checking that button "Create course" is disabled
2026-01-21 06:49:52,555 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-create-course-button" at index "0"
2026-01-21 06:49:52,567 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-icon" at index "0"
2026-01-21 06:49:52,567 | BASE_ELEMENT | INFO | Checking that icon "Image upload info" is visible
2026-01-21 06:49:52,580 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-title-text" at index "0"
2026-01-21 06:49:52,580 | BASE_ELEMENT | INFO | Checking that text "Image upload info" is visible
2026-01-21 06:49:52,592 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-title-text" at index "0"
2026-01-21 06:49:52,592 | BASE_ELEMENT | INFO | Checking that text "Image upload info" has text "Tap on "Upload image" button to select file"
2026-01-21 06:49:52,605 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-description-text" at index "0"
2026-01-21 06:49:52,605 | BASE_ELEMENT | INFO | Checking that text "Image upload info" is visible
2026-01-21 06:49:52,615 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-description-text" at index "0"
2026-01-21 06:49:52,615 | BASE_ELEMENT | INFO | Checking that text "Image upload info" has text "Recommended file size 540X300"
