2026-01-28 05:44:47,190 | BASE_PAGE | INFO | Opening the url "AppRoute.DASHBOARD"
2026-01-28 05:44:48,833 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-app-title-text" at index "0"
2026-01-28 05:44:48,833 | BASE_ELEMENT | INFO | Checking that text "App title" is visible
2026-01-28 05:44:48,892 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-app-title-text" at index "0"
2026-01-28 05:44:48,892 | BASE_ELEMENT | INFO | Checking that text "App title" has text "UI Course"
2026-01-28 05:44:48,918 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-welcome-title-text" at index "0"
2026-01-28 05:44:48,918 | BASE_ELEMENT | INFO | Checking that text "Welcome title" is visible
2026-01-28 05:44:48,936 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-welcome-title-text" at index "0"
2026-01-28 05:44:48,936 | BASE_ELEMENT | INFO | Checking that text "Welcome title" has text "Welcome, username!"
2026-01-28 05:44:48,953 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-icon" at index "0"
2026-01-28 05:44:48,953 | BASE_ELEMENT | INFO | Checking that icon "Sidebar" is visible
2026-01-28 05:44:48,968 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-title-text" at index "0"
2026-01-28 05:44:48,969 | BASE_ELEMENT | INFO | Checking that text "Sidebar" is visible
2026-01-28 05:44:48,986 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-title-text" at index "0"
2026-01-28 05:44:48,986 | BASE_ELEMENT | INFO | Checking that text "Sidebar" has text "Logout"
2026-01-28 05:44:49,004 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-button" at index "0"
2026-01-28 05:44:49,004 | BASE_ELEMENT | INFO | Checking that button "Sidebar" is visible
2026-01-28 05:44:49,044 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-icon" at index "0"
2026-01-28 05:44:49,045 | BASE_ELEMENT | INFO | Checking that icon "Sidebar" is visible
2026-01-28 05:44:49,067 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-title-text" at index "0"
