2026-01-21 06:30:56,616 | BASE_PAGE | INFO | Opening the url "AppRoute.DASHBOARD"
2026-01-21 06:30:57,875 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-app-title-text" at index "0"
2026-01-21 06:30:57,875 | BASE_ELEMENT | INFO | Checking that text "App title" is visible
2026-01-21 06:30:57,968 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-app-title-text" at index "0"
2026-01-21 06:30:57,968 | BASE_ELEMENT | INFO | Checking that text "App title" has text "UI Course"
2026-01-21 06:30:58,012 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-welcome-title-text" at index "0"
2026-01-21 06:30:58,012 | BASE_ELEMENT | INFO | Checking that text "Welcome title" is visible
2026-01-21 06:30:58,045 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-welcome-title-text" at index "0"
2026-01-21 06:30:58,045 | BASE_ELEMENT | INFO | Checking that text "Welcome title" has text "Welcome, username!"
2026-01-21 06:30:58,071 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-icon" at index "0"
2026-01-21 06:30:58,071 | BASE_ELEMENT | INFO | Checking that icon "Sidebar" is visible
2026-01-21 06:30:58,091 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-title-text" at index "0"
2026-01-21 06:30:58,091 | BASE_ELEMENT | INFO | Checking that text "Sidebar" is visible
2026-01-21 06:30:58,101 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-title-text" at index "0"
2026-01-21 06:30:58,101 | BASE_ELEMENT | INFO | Checking that text "Sidebar" has text "Logout"
2026-01-21 06:30:58,112 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-button" at index "0"
2026-01-21 06:30:58,113 | BASE_ELEMENT | INFO | Checking that button "Sidebar" is visible
2026-01-21 06:30:58,128 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-icon" at index "0"
2026-01-21 06:30:58,128 | BASE_ELEMENT | INFO | Checking that icon "Sidebar" is visible
2026-01-21 06:30:58,138 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-title-text" at index "0"
2026-01-21 06:30:58,138 | BASE_ELEMENT | INFO | Checking that text "Sidebar" is visible
2026-01-21 06:30:58,147 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-title-text" at index "0"
2026-01-21 06:30:58,147 | BASE_ELEMENT | INFO | Checking that text "Sidebar" has text "Courses"
2026-01-21 06:30:58,156 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-button" at index "0"
2026-01-21 06:30:58,156 | BASE_ELEMENT | INFO | Checking that button "Sidebar" is visible
2026-01-21 06:30:58,166 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-drawer-list-item-icon" at index "0"
2026-01-21 06:30:58,167 | BASE_ELEMENT | INFO | Checking that icon "Sidebar" is visible
2026-01-21 06:30:58,175 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-drawer-list-item-title-text" at index "0"
2026-01-21 06:30:58,175 | BASE_ELEMENT | INFO | Checking that text "Sidebar" is visible
2026-01-21 06:30:58,184 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-drawer-list-item-title-text" at index "0"
2026-01-21 06:30:58,184 | BASE_ELEMENT | INFO | Checking that text "Sidebar" has text "Dashboard"
2026-01-21 06:30:58,192 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-drawer-list-item-button" at index "0"
2026-01-21 06:30:58,192 | BASE_ELEMENT | INFO | Checking that button "Sidebar" is visible
2026-01-21 06:30:58,201 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-toolbar-title-text" at index "0"
2026-01-21 06:30:58,201 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-01-21 06:30:58,210 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-toolbar-title-text" at index "0"
2026-01-21 06:30:58,210 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Dashboard"
2026-01-21 06:30:58,220 | BASE_ELEMENT | INFO | Getting locator with "data-testid=scores-widget-title-text" at index "0"
2026-01-21 06:30:58,220 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-01-21 06:30:58,229 | BASE_ELEMENT | INFO | Getting locator with "data-testid=scores-widget-title-text" at index "0"
2026-01-21 06:30:58,229 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Scores"
2026-01-21 06:30:58,238 | BASE_ELEMENT | INFO | Getting locator with "data-testid=scores-scatter-chart" at index "0"
2026-01-21 06:30:58,238 | BASE_ELEMENT | INFO | Checking that image "Chart" is visible
2026-01-21 06:30:58,248 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-widget-title-text" at index "0"
2026-01-21 06:30:58,248 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-01-21 06:30:58,257 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-widget-title-text" at index "0"
2026-01-21 06:30:58,257 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Courses"
2026-01-21 06:30:58,266 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-pie-chart" at index "0"
2026-01-21 06:30:58,266 | BASE_ELEMENT | INFO | Checking that image "Chart" is visible
2026-01-21 06:30:58,275 | BASE_ELEMENT | INFO | Getting locator with "data-testid=students-widget-title-text" at index "0"
2026-01-21 06:30:58,275 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-01-21 06:30:58,284 | BASE_ELEMENT | INFO | Getting locator with "data-testid=students-widget-title-text" at index "0"
2026-01-21 06:30:58,284 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Students"
2026-01-21 06:30:58,294 | BASE_ELEMENT | INFO | Getting locator with "data-testid=students-bar-chart" at index "0"
2026-01-21 06:30:58,294 | BASE_ELEMENT | INFO | Checking that image "Chart" is visible
2026-01-21 06:30:58,308 | BASE_ELEMENT | INFO | Getting locator with "data-testid=activities-widget-title-text" at index "0"
2026-01-21 06:30:58,309 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-01-21 06:30:58,320 | BASE_ELEMENT | INFO | Getting locator with "data-testid=activities-widget-title-text" at index "0"
2026-01-21 06:30:58,320 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Activities"
2026-01-21 06:30:58,331 | BASE_ELEMENT | INFO | Getting locator with "data-testid=activities-line-chart" at index "0"
2026-01-21 06:30:58,332 | BASE_ELEMENT | INFO | Checking that image "Chart" is visible
