2026-01-21 13:07:36,359 | BASE_PAGE | INFO | Opening the url "AppRoute.LOGIN"
2026-01-21 13:07:38,135 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-email-input" at index "0"
2026-01-21 13:07:38,135 | INPUT | INFO | Fill input "Email" to value "user.name@gmail.com"
2026-01-21 13:07:38,262 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-email-input" at index "0"
2026-01-21 13:07:38,262 | INPUT | INFO | Checking that input "Email" has a value "user.name@gmail.com"
2026-01-21 13:07:38,331 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-password-input" at index "0"
2026-01-21 13:07:38,331 | INPUT | INFO | Fill input "Password" to value "password"
2026-01-21 13:07:38,477 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-password-input" at index "0"
2026-01-21 13:07:38,477 | INPUT | INFO | Checking that input "Password" has a value "password"
2026-01-21 13:07:38,506 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-login-button" at index "0"
2026-01-21 13:07:38,508 | BASE_ELEMENT | INFO | Clicking button "Login"
2026-01-21 13:07:38,741 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2026-01-21 13:07:38,741 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" is visible
2026-01-21 13:07:38,764 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2026-01-21 13:07:38,765 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" has text "Wrong email or password"
