2026-01-20 18:20:38,004 | BASE_PAGE | INFO | Opening the url "AppRoute.LOGIN"
2026-01-20 18:20:39,383 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-email-input" at index "0"
2026-01-20 18:20:39,383 | INPUT | INFO | Fill input "Email" to value "user.name@gmail.com"
2026-01-20 18:20:39,463 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-email-input" at index "0"
2026-01-20 18:20:39,463 | INPUT | INFO | Checking that input "Email" has a value "user.name@gmail.com"
2026-01-20 18:20:39,511 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-password-input" at index "0"
2026-01-20 18:20:39,512 | INPUT | INFO | Fill input "Password" to value "password"
2026-01-20 18:20:39,580 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-password-input" at index "0"
2026-01-20 18:20:39,580 | INPUT | INFO | Checking that input "Password" has a value "password"
2026-01-20 18:20:39,613 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-login-button" at index "0"
2026-01-20 18:20:39,614 | BASE_ELEMENT | INFO | Clicking button "Login"
2026-01-20 18:20:39,738 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2026-01-20 18:20:39,738 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" is visible
2026-01-20 18:20:39,760 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2026-01-20 18:20:39,760 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" has text "Wrong email or password"
