2026-01-20 19:33:09,175 | BASE_PAGE | INFO | Opening the url "AppRoute.COURSES_CREATE"
2026-01-20 19:33:10,414 | FILE_INPUT | INFO | Set file "testdata/files/image.png" to the file input "Upload"
2026-01-20 19:33:10,414 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-upload-button" at index "0"
2026-01-20 19:33:10,454 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-icon" at index "0"
2026-01-20 19:33:10,454 | BASE_ELEMENT | INFO | Checking that icon "Image upload info" is visible
2026-01-20 19:33:10,511 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-title-text" at index "0"
2026-01-20 19:33:10,511 | BASE_ELEMENT | INFO | Checking that text "Image upload info" is visible
2026-01-20 19:33:10,535 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-title-text" at index "0"
2026-01-20 19:33:10,535 | BASE_ELEMENT | INFO | Checking that text "Image upload info" has text "Tap on "Upload image" button to select file"
2026-01-20 19:33:10,549 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-description-text" at index "0"
2026-01-20 19:33:10,549 | BASE_ELEMENT | INFO | Checking that text "Image upload info" is visible
2026-01-20 19:33:10,591 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-description-text" at index "0"
2026-01-20 19:33:10,591 | BASE_ELEMENT | INFO | Checking that text "Image upload info" has text "Recommended file size 540X300"
2026-01-20 19:33:10,603 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-upload-button" at index "0"
2026-01-20 19:33:10,603 | BASE_ELEMENT | INFO | Checking that button "Upload" is visible
2026-01-20 19:33:10,616 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-remove-button" at index "0"
2026-01-20 19:33:10,617 | BASE_ELEMENT | INFO | Checking that button "Remove" is visible
2026-01-20 19:33:10,630 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-preview-image" at index "0"
2026-01-20 19:33:10,630 | BASE_ELEMENT | INFO | Checking that image "Preview" is visible
2026-01-20 19:33:10,658 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-title-input" at index "0"
2026-01-20 19:33:10,658 | INPUT | INFO | Fill input "Title" to value "Playwright"
2026-01-20 19:33:10,706 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-title-input" at index "0"
2026-01-20 19:33:10,706 | INPUT | INFO | Checking that input "Title" has a value "Playwright"
2026-01-20 19:33:10,727 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-estimated-time-input" at index "0"
2026-01-20 19:33:10,728 | INPUT | INFO | Fill input "Estimated time" to value "2 weeks"
2026-01-20 19:33:10,795 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-estimated-time-input" at index "0"
2026-01-20 19:33:10,796 | INPUT | INFO | Checking that input "Estimated time" has a value "2 weeks"
2026-01-20 19:33:10,814 | TEXTAREA | INFO | Fill textarea "Description" to value "Playwright"
2026-01-20 19:33:10,814 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-description-input" at index "0"
