2026-01-28 05:44:40,707 | BASE_PAGE | INFO | Opening the url "AppRoute.COURSES_CREATE"
2026-01-28 05:44:41,946 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-title-text" at index "0"
2026-01-28 05:44:41,946 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-01-28 05:44:41,991 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-title-text" at index "0"
2026-01-28 05:44:41,991 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Create course"
2026-01-28 05:44:42,009 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-create-course-button" at index "0"
2026-01-28 05:44:42,009 | BASE_ELEMENT | INFO | Checking that button "Create course" is visible
2026-01-28 05:44:42,024 | BUTTON | INFO | Checking that button "Create course" is disabled
2026-01-28 05:44:42,024 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-create-course-button" at index "0"
2026-01-28 05:44:42,042 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-icon" at index "0"
2026-01-28 05:44:42,042 | BASE_ELEMENT | INFO | Checking that icon "Image upload info" is visible
2026-01-28 05:44:42,067 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-title-text" at index "0"
2026-01-28 05:44:42,067 | BASE_ELEMENT | INFO | Checking that text "Image upload info" is visible
2026-01-28 05:44:42,081 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-title-text" at index "0"
2026-01-28 05:44:42,081 | BASE_ELEMENT | INFO | Checking that text "Image upload info" has text "Tap on "Upload image" button to select file"
2026-01-28 05:44:42,097 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-description-text" at index "0"
2026-01-28 05:44:42,097 | BASE_ELEMENT | INFO | Checking that text "Image upload info" is visible
2026-01-28 05:44:42,115 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-description-text" at index "0"
2026-01-28 05:44:42,115 | BASE_ELEMENT | INFO | Checking that text "Image upload info" has text "Recommended file size 540X300"
2026-01-28 05:44:42,135 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-upload-button" at index "0"
2026-01-28 05:44:42,135 | BASE_ELEMENT | INFO | Checking that button "Upload" is visible
2026-01-28 05:44:42,157 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-empty-view-icon" at index "0"
2026-01-28 05:44:42,157 | BASE_ELEMENT | INFO | Checking that icon "EmptyView" is visible
2026-01-28 05:44:42,204 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-empty-view-title-text" at index "0"
2026-01-28 05:44:42,204 | BASE_ELEMENT | INFO | Checking that text "EmptyView" is visible
2026-01-28 05:44:42,217 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-empty-view-title-text" at index "0"
2026-01-28 05:44:42,217 | BASE_ELEMENT | INFO | Checking that text "EmptyView" has text "No image selected"
2026-01-28 05:44:42,230 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-empty-view-description-text" at index "0"
2026-01-28 05:44:42,231 | BASE_ELEMENT | INFO | Checking that text "EmptyView" is visible
2026-01-28 05:44:42,244 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-empty-view-description-text" at index "0"
2026-01-28 05:44:42,244 | BASE_ELEMENT | INFO | Checking that text "EmptyView" has text "Preview of selected image will be displayed here"
2026-01-28 05:44:42,258 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-title-input" at index "0"
2026-01-28 05:44:42,258 | BASE_ELEMENT | INFO | Checking that input "Title" is visible
2026-01-28 05:44:42,274 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-title-input" at index "0"
2026-01-28 05:44:42,275 | INPUT | INFO | Checking that input "Title" has a value ""
2026-01-28 05:44:42,286 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-estimated-time-input" at index "0"
2026-01-28 05:44:42,287 | BASE_ELEMENT | INFO | Checking that input "Estimated time" is visible
2026-01-28 05:44:42,298 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-estimated-time-input" at index "0"
2026-01-28 05:44:42,298 | INPUT | INFO | Checking that input "Estimated time" has a value ""
2026-01-28 05:44:42,308 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-description-input" at index "0"
2026-01-28 05:44:42,308 | BASE_ELEMENT | INFO | Checking that textarea "Description" is visible
2026-01-28 05:44:42,318 | TEXTAREA | INFO | Check have textarea "Description" to value ""
2026-01-28 05:44:42,318 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-description-input" at index "0"
2026-01-28 05:44:42,332 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-max-score-input" at index "0"
2026-01-28 05:44:42,332 | BASE_ELEMENT | INFO | Checking that input "Max score" is visible
2026-01-28 05:44:42,347 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-max-score-input" at index "0"
2026-01-28 05:44:42,347 | INPUT | INFO | Checking that input "Max score" has a value "0"
2026-01-28 05:44:42,363 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-min-score-input" at index "0"
2026-01-28 05:44:42,363 | BASE_ELEMENT | INFO | Checking that input "Min score" is visible
2026-01-28 05:44:42,380 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-min-score-input" at index "0"
2026-01-28 05:44:42,380 | INPUT | INFO | Checking that input "Min score" has a value "0"
2026-01-28 05:44:42,393 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-exercises-box-toolbar-title-text" at index "0"
2026-01-28 05:44:42,393 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-01-28 05:44:42,404 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-exercises-box-toolbar-title-text" at index "0"
2026-01-28 05:44:42,405 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Exercises"
2026-01-28 05:44:42,414 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-exercises-box-toolbar-create-exercise-button" at index "0"
2026-01-28 05:44:42,414 | BASE_ELEMENT | INFO | Checking that button "Create exercise" is visible
2026-01-28 05:44:42,426 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-exercises-empty-view-icon" at index "0"
2026-01-28 05:44:42,426 | BASE_ELEMENT | INFO | Checking that icon "EmptyView" is visible
2026-01-28 05:44:42,438 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-exercises-empty-view-title-text" at index "0"
2026-01-28 05:44:42,438 | BASE_ELEMENT | INFO | Checking that text "EmptyView" is visible
2026-01-28 05:44:42,448 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-exercises-empty-view-title-text" at index "0"
2026-01-28 05:44:42,448 | BASE_ELEMENT | INFO | Checking that text "EmptyView" has text "There is no exercises"
2026-01-28 05:44:42,460 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-exercises-empty-view-description-text" at index "0"
2026-01-28 05:44:42,460 | BASE_ELEMENT | INFO | Checking that text "EmptyView" is visible
2026-01-28 05:44:42,472 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-exercises-empty-view-description-text" at index "0"
2026-01-28 05:44:42,472 | BASE_ELEMENT | INFO | Checking that text "EmptyView" has text "Click on "Create exercise" button to create new exercise"
2026-01-28 05:44:42,482 | FILE_INPUT | INFO | Set file "testdata/files/image.png" to the file input "Upload"
2026-01-28 05:44:42,482 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-upload-button" at index "0"
2026-01-28 05:44:42,500 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-icon" at index "0"
2026-01-28 05:44:42,500 | BASE_ELEMENT | INFO | Checking that icon "Image upload info" is visible
2026-01-28 05:44:42,572 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-title-text" at index "0"
2026-01-28 05:44:42,572 | BASE_ELEMENT | INFO | Checking that text "Image upload info" is visible
2026-01-28 05:44:42,593 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-title-text" at index "0"
2026-01-28 05:44:42,593 | BASE_ELEMENT | INFO | Checking that text "Image upload info" has text "Tap on "Upload image" button to select file"
2026-01-28 05:44:42,612 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-description-text" at index "0"
2026-01-28 05:44:42,613 | BASE_ELEMENT | INFO | Checking that text "Image upload info" is visible
2026-01-28 05:44:42,632 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-description-text" at index "0"
2026-01-28 05:44:42,632 | BASE_ELEMENT | INFO | Checking that text "Image upload info" has text "Recommended file size 540X300"
2026-01-28 05:44:42,646 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-upload-button" at index "0"
2026-01-28 05:44:42,647 | BASE_ELEMENT | INFO | Checking that button "Upload" is visible
2026-01-28 05:44:42,665 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-remove-button" at index "0"
2026-01-28 05:44:42,665 | BASE_ELEMENT | INFO | Checking that button "Remove" is visible
2026-01-28 05:44:42,684 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-preview-image" at index "0"
2026-01-28 05:44:42,684 | BASE_ELEMENT | INFO | Checking that image "Preview" is visible
2026-01-28 05:44:42,736 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-title-input" at index "0"
2026-01-28 05:44:42,736 | INPUT | INFO | Fill input "Title" to value "Playwright"
2026-01-28 05:44:42,814 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-title-input" at index "0"
2026-01-28 05:44:42,814 | INPUT | INFO | Checking that input "Title" has a value "Playwright"
2026-01-28 05:44:42,839 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-estimated-time-input" at index "0"
2026-01-28 05:44:42,839 | INPUT | INFO | Fill input "Estimated time" to value "2 weeks"
2026-01-28 05:44:42,982 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-estimated-time-input" at index "0"
2026-01-28 05:44:42,982 | INPUT | INFO | Checking that input "Estimated time" has a value "2 weeks"
2026-01-28 05:44:43,018 | TEXTAREA | INFO | Fill textarea "Description" to value "Playwright"
2026-01-28 05:44:43,018 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-description-input" at index "0"
2026-01-28 05:44:43,129 | TEXTAREA | INFO | Check have textarea "Description" to value "Playwright"
2026-01-28 05:44:43,129 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-description-input" at index "0"
2026-01-28 05:44:43,185 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-max-score-input" at index "0"
2026-01-28 05:44:43,185 | INPUT | INFO | Fill input "Max score" to value "100"
2026-01-28 05:44:43,370 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-max-score-input" at index "0"
2026-01-28 05:44:43,370 | INPUT | INFO | Checking that input "Max score" has a value "100"
2026-01-28 05:44:43,390 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-min-score-input" at index "0"
2026-01-28 05:44:43,390 | INPUT | INFO | Fill input "Min score" to value "10"
2026-01-28 05:44:43,486 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-min-score-input" at index "0"
2026-01-28 05:44:43,486 | INPUT | INFO | Checking that input "Min score" has a value "10"
2026-01-28 05:44:43,536 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-create-course-button" at index "0"
2026-01-28 05:44:43,536 | BASE_ELEMENT | INFO | Clicking button "Create course"
2026-01-28 05:44:43,691 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-list-toolbar-title-text" at index "0"
2026-01-28 05:44:43,691 | BASE_ELEMENT | INFO | Checking that text "Courses" is visible
2026-01-28 05:44:43,761 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-list-toolbar-title-text" at index "0"
2026-01-28 05:44:43,761 | BASE_ELEMENT | INFO | Checking that text "Courses" has text "Courses"
2026-01-28 05:44:43,778 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-list-toolbar-create-course-button" at index "0"
2026-01-28 05:44:43,780 | BASE_ELEMENT | INFO | Checking that button "Create course" is visible
2026-01-28 05:44:43,795 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-preview-image" at index "0"
2026-01-28 05:44:43,795 | BASE_ELEMENT | INFO | Checking that image "Preview" is visible
2026-01-28 05:44:43,827 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-widget-title-text" at index "0"
2026-01-28 05:44:43,827 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-01-28 05:44:43,851 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-widget-title-text" at index "0"
