2026-01-21 06:49:55,339 | BASE_PAGE | INFO | Opening the url "AppRoute.COURSES_CREATE"
2026-01-21 06:49:56,558 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-title-text" at index "0"
2026-01-21 06:49:56,559 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-01-21 06:49:56,604 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-title-text" at index "0"
2026-01-21 06:49:56,604 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Create course"
2026-01-21 06:49:56,625 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-create-course-button" at index "0"
2026-01-21 06:49:56,626 | BASE_ELEMENT | INFO | Checking that button "Create course" is visible
2026-01-21 06:49:56,646 | BUTTON | INFO | Checking that button "Create course" is disabled
2026-01-21 06:49:56,646 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-create-course-button" at index "0"
2026-01-21 06:49:56,664 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-icon" at index "0"
2026-01-21 06:49:56,664 | BASE_ELEMENT | INFO | Checking that icon "Image upload info" is visible
2026-01-21 06:49:56,679 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-title-text" at index "0"
2026-01-21 06:49:56,680 | BASE_ELEMENT | INFO | Checking that text "Image upload info" is visible
2026-01-21 06:49:56,695 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-title-text" at index "0"
2026-01-21 06:49:56,695 | BASE_ELEMENT | INFO | Checking that text "Image upload info" has text "Tap on "Upload image" button to select file"
2026-01-21 06:49:56,710 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-description-text" at index "0"
2026-01-21 06:49:56,710 | BASE_ELEMENT | INFO | Checking that text "Image upload info" is visible
2026-01-21 06:49:56,729 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-description-text" at index "0"
2026-01-21 06:49:56,730 | BASE_ELEMENT | INFO | Checking that text "Image upload info" has text "Recommended file size 540X300"
2026-01-21 06:49:56,746 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-upload-button" at index "0"
2026-01-21 06:49:56,746 | BASE_ELEMENT | INFO | Checking that button "Upload" is visible
2026-01-21 06:49:56,760 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-empty-view-icon" at index "0"
2026-01-21 06:49:56,760 | BASE_ELEMENT | INFO | Checking that icon "EmptyView" is visible
2026-01-21 06:49:56,801 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-empty-view-title-text" at index "0"
2026-01-21 06:49:56,802 | BASE_ELEMENT | INFO | Checking that text "EmptyView" is visible
2026-01-21 06:49:56,815 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-empty-view-title-text" at index "0"
2026-01-21 06:49:56,815 | BASE_ELEMENT | INFO | Checking that text "EmptyView" has text "No image selected"
2026-01-21 06:49:56,825 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-empty-view-description-text" at index "0"
2026-01-21 06:49:56,825 | BASE_ELEMENT | INFO | Checking that text "EmptyView" is visible
2026-01-21 06:49:56,835 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-empty-view-description-text" at index "0"
2026-01-21 06:49:56,835 | BASE_ELEMENT | INFO | Checking that text "EmptyView" has text "Preview of selected image will be displayed here"
2026-01-21 06:49:56,845 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-title-input" at index "0"
2026-01-21 06:49:56,845 | BASE_ELEMENT | INFO | Checking that input "Title" is visible
2026-01-21 06:49:56,854 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-title-input" at index "0"
2026-01-21 06:49:56,854 | INPUT | INFO | Checking that input "Title" has a value ""
2026-01-21 06:49:56,866 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-estimated-time-input" at index "0"
2026-01-21 06:49:56,866 | BASE_ELEMENT | INFO | Checking that input "Estimated time" is visible
2026-01-21 06:49:56,878 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-estimated-time-input" at index "0"
2026-01-21 06:49:56,878 | INPUT | INFO | Checking that input "Estimated time" has a value ""
2026-01-21 06:49:56,899 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-description-input" at index "0"
2026-01-21 06:49:56,899 | BASE_ELEMENT | INFO | Checking that textarea "Description" is visible
2026-01-21 06:49:56,916 | TEXTAREA | INFO | Check have textarea "Description" to value ""
2026-01-21 06:49:56,916 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-description-input" at index "0"
2026-01-21 06:49:56,928 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-max-score-input" at index "0"
2026-01-21 06:49:56,928 | BASE_ELEMENT | INFO | Checking that input "Max score" is visible
2026-01-21 06:49:56,938 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-max-score-input" at index "0"
2026-01-21 06:49:56,938 | INPUT | INFO | Checking that input "Max score" has a value "0"
2026-01-21 06:49:56,950 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-min-score-input" at index "0"
2026-01-21 06:49:56,950 | BASE_ELEMENT | INFO | Checking that input "Min score" is visible
2026-01-21 06:49:56,961 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-min-score-input" at index "0"
2026-01-21 06:49:56,962 | INPUT | INFO | Checking that input "Min score" has a value "0"
2026-01-21 06:49:56,972 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-exercises-box-toolbar-title-text" at index "0"
2026-01-21 06:49:56,972 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-01-21 06:49:56,983 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-exercises-box-toolbar-title-text" at index "0"
2026-01-21 06:49:56,983 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Exercises"
2026-01-21 06:49:56,996 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-exercises-box-toolbar-create-exercise-button" at index "0"
2026-01-21 06:49:56,996 | BASE_ELEMENT | INFO | Checking that button "Create exercise" is visible
2026-01-21 06:49:57,007 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-exercises-empty-view-icon" at index "0"
2026-01-21 06:49:57,007 | BASE_ELEMENT | INFO | Checking that icon "EmptyView" is visible
2026-01-21 06:49:57,016 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-exercises-empty-view-title-text" at index "0"
2026-01-21 06:49:57,016 | BASE_ELEMENT | INFO | Checking that text "EmptyView" is visible
2026-01-21 06:49:57,025 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-exercises-empty-view-title-text" at index "0"
2026-01-21 06:49:57,025 | BASE_ELEMENT | INFO | Checking that text "EmptyView" has text "There is no exercises"
2026-01-21 06:49:57,034 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-exercises-empty-view-description-text" at index "0"
2026-01-21 06:49:57,034 | BASE_ELEMENT | INFO | Checking that text "EmptyView" is visible
2026-01-21 06:49:57,045 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-exercises-empty-view-description-text" at index "0"
2026-01-21 06:49:57,045 | BASE_ELEMENT | INFO | Checking that text "EmptyView" has text "Click on "Create exercise" button to create new exercise"
2026-01-21 06:49:57,056 | FILE_INPUT | INFO | Set file "testdata/files/image.png" to the file input "Upload"
2026-01-21 06:49:57,056 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-upload-button" at index "0"
2026-01-21 06:49:57,073 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-icon" at index "0"
2026-01-21 06:49:57,074 | BASE_ELEMENT | INFO | Checking that icon "Image upload info" is visible
2026-01-21 06:49:57,143 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-title-text" at index "0"
2026-01-21 06:49:57,143 | BASE_ELEMENT | INFO | Checking that text "Image upload info" is visible
2026-01-21 06:49:57,167 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-title-text" at index "0"
2026-01-21 06:49:57,167 | BASE_ELEMENT | INFO | Checking that text "Image upload info" has text "Tap on "Upload image" button to select file"
2026-01-21 06:49:57,187 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-description-text" at index "0"
