2026-01-21 06:24:07,318 | BASE_PAGE | INFO | Opening the url "AppRoute.DASHBOARD"
2026-01-21 06:24:08,628 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-app-title-text" at index "0"
2026-01-21 06:24:08,628 | BASE_ELEMENT | INFO | Checking that text "App title" is visible
2026-01-21 06:24:08,716 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-app-title-text" at index "0"
2026-01-21 06:24:08,716 | BASE_ELEMENT | INFO | Checking that text "App title" has text "UI Course"
2026-01-21 06:24:08,758 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-welcome-title-text" at index "0"
2026-01-21 06:24:08,759 | BASE_ELEMENT | INFO | Checking that text "Welcome title" is visible
2026-01-21 06:24:08,791 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-welcome-title-text" at index "0"
2026-01-21 06:24:08,792 | BASE_ELEMENT | INFO | Checking that text "Welcome title" has text "Welcome, username!"
2026-01-21 06:24:08,815 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-icon" at index "0"
2026-01-21 06:24:08,815 | BASE_ELEMENT | INFO | Checking that icon "Sidebar" is visible
2026-01-21 06:24:08,827 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-title-text" at index "0"
2026-01-21 06:24:08,827 | BASE_ELEMENT | INFO | Checking that text "Sidebar" is visible
2026-01-21 06:24:08,837 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-title-text" at index "0"
2026-01-21 06:24:08,837 | BASE_ELEMENT | INFO | Checking that text "Sidebar" has text "Logout"
2026-01-21 06:24:08,848 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-button" at index "0"
2026-01-21 06:24:08,848 | BASE_ELEMENT | INFO | Checking that button "Sidebar" is visible
2026-01-21 06:24:08,866 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-icon" at index "0"
2026-01-21 06:24:08,866 | BASE_ELEMENT | INFO | Checking that icon "Sidebar" is visible
2026-01-21 06:24:08,881 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-title-text" at index "0"
2026-01-21 06:24:08,881 | BASE_ELEMENT | INFO | Checking that text "Sidebar" is visible
2026-01-21 06:24:08,894 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-title-text" at index "0"
2026-01-21 06:24:08,894 | BASE_ELEMENT | INFO | Checking that text "Sidebar" has text "Courses"
2026-01-21 06:24:08,906 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-button" at index "0"
2026-01-21 06:24:08,906 | BASE_ELEMENT | INFO | Checking that button "Sidebar" is visible
2026-01-21 06:24:08,920 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-drawer-list-item-icon" at index "0"
2026-01-21 06:24:08,920 | BASE_ELEMENT | INFO | Checking that icon "Sidebar" is visible
2026-01-21 06:24:08,931 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-drawer-list-item-title-text" at index "0"
2026-01-21 06:24:08,932 | BASE_ELEMENT | INFO | Checking that text "Sidebar" is visible
2026-01-21 06:24:08,944 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-drawer-list-item-title-text" at index "0"
2026-01-21 06:24:08,944 | BASE_ELEMENT | INFO | Checking that text "Sidebar" has text "Dashboard"
2026-01-21 06:24:08,955 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-drawer-list-item-button" at index "0"
2026-01-21 06:24:08,955 | BASE_ELEMENT | INFO | Checking that button "Sidebar" is visible
2026-01-21 06:24:08,966 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-toolbar-title-text" at index "0"
2026-01-21 06:24:08,966 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-01-21 06:24:08,977 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-toolbar-title-text" at index "0"
2026-01-21 06:24:08,977 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Dashboard"
2026-01-21 06:24:08,990 | BASE_ELEMENT | INFO | Getting locator with "data-testid=scores-widget-title-text" at index "0"
2026-01-21 06:24:08,991 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-01-21 06:24:09,000 | BASE_ELEMENT | INFO | Getting locator with "data-testid=scores-widget-title-text" at index "0"
2026-01-21 06:24:09,000 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Scores"
