2026-01-20 19:32:55,042 | BASE_PAGE | INFO | Opening the url "AppRoute.REGISTRATION"
2026-01-20 19:32:56,319 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2026-01-20 19:32:56,319 | INPUT | INFO | Fill input "Email" to value "user.name@gmail.com"
2026-01-20 19:32:56,384 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2026-01-20 19:32:56,384 | INPUT | INFO | Checking that input "Email" has a value "user.name@gmail.com"
2026-01-20 19:32:56,416 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2026-01-20 19:32:56,417 | INPUT | INFO | Fill input "Username" to value "username"
2026-01-20 19:32:56,535 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2026-01-20 19:32:56,535 | INPUT | INFO | Checking that input "Username" has a value "username"
2026-01-20 19:32:56,621 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2026-01-20 19:32:56,621 | INPUT | INFO | Fill input "Password" to value "password"
2026-01-20 19:32:56,725 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2026-01-20 19:32:56,725 | INPUT | INFO | Checking that input "Password" has a value "password"
2026-01-20 19:32:56,800 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-page-registration-button" at index "0"
2026-01-20 19:32:56,800 | BASE_ELEMENT | INFO | Clicking button "Registration"
2026-01-20 19:32:57,050 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-toolbar-title-text" at index "0"
2026-01-20 19:32:57,050 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-01-20 19:32:57,702 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-toolbar-title-text" at index "0"
2026-01-20 19:32:57,702 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Dashboard"
2026-01-20 19:32:57,722 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-app-title-text" at index "0"
2026-01-20 19:32:57,722 | BASE_ELEMENT | INFO | Checking that text "App title" is visible
2026-01-20 19:32:57,759 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-app-title-text" at index "0"
2026-01-20 19:32:57,760 | BASE_ELEMENT | INFO | Checking that text "App title" has text "UI Course"
2026-01-20 19:32:57,810 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-welcome-title-text" at index "0"
