2026-01-21 06:30:44,074 | BASE_PAGE | INFO | Opening the url "AppRoute.LOGIN"
2026-01-21 06:30:45,398 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-registration-link" at index "0"
2026-01-21 06:30:45,399 | BASE_ELEMENT | INFO | Clicking link "Registration"
2026-01-21 06:30:45,524 | BASE_PAGE | INFO | Checking that current url matches pattern ".*/#/auth/registration"
2026-01-21 06:30:45,579 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2026-01-21 06:30:45,579 | BASE_ELEMENT | INFO | Checking that input "Email" is visible
2026-01-21 06:30:45,614 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2026-01-21 06:30:45,614 | INPUT | INFO | Checking that input "Email" has a value ""
2026-01-21 06:30:45,663 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2026-01-21 06:30:45,664 | BASE_ELEMENT | INFO | Checking that input "Username" is visible
2026-01-21 06:30:45,685 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2026-01-21 06:30:45,685 | INPUT | INFO | Checking that input "Username" has a value ""
2026-01-21 06:30:45,698 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2026-01-21 06:30:45,698 | BASE_ELEMENT | INFO | Checking that input "Password" is visible
2026-01-21 06:30:45,711 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2026-01-21 06:30:45,711 | INPUT | INFO | Checking that input "Password" has a value ""
