2026-01-21 06:30:27,535 | BASE_PAGE | INFO | Opening the url "AppRoute.LOGIN"
2026-01-21 06:30:28,914 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-email-input" at index "0"
2026-01-21 06:30:28,914 | INPUT | INFO | Fill input "Email" to value "user.name@gmail.com"
2026-01-21 06:30:28,971 | UI_COVERAGE_TRACKER_STORAGE | INFO | Results directory does not exist, creating: /home/runner/work/autotests-ui/autotests-ui/coverage-results
2026-01-21 06:30:28,971 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-email-input" at index "0"
2026-01-21 06:30:28,971 | INPUT | INFO | Checking that input "Email" has a value "user.name@gmail.com"
2026-01-21 06:30:29,009 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-password-input" at index "0"
2026-01-21 06:30:29,009 | INPUT | INFO | Fill input "Password" to value "password"
2026-01-21 06:30:29,119 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-password-input" at index "0"
2026-01-21 06:30:29,119 | INPUT | INFO | Checking that input "Password" has a value "password"
2026-01-21 06:30:29,166 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-login-button" at index "0"
2026-01-21 06:30:29,167 | BASE_ELEMENT | INFO | Clicking button "Login"
2026-01-21 06:30:29,305 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2026-01-21 06:30:29,306 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" is visible
2026-01-21 06:30:29,338 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2026-01-21 06:30:29,338 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" has text "Wrong email or password"
