2025-12-24 17:23:42,378 | BASE_PAGE | INFO | Opening the url "AppRoute.LOGIN"
2025-12-24 17:23:43,930 | INPUT | INFO | Fill input "Email" to value "user.name@gmail.com"
2025-12-24 17:23:43,930 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-email-input" at index "0"
2025-12-24 17:23:44,000 | INPUT | INFO | Check that input "Email" has a value "user.name@gmail.com"
2025-12-24 17:23:44,000 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-email-input" at index "0"
2025-12-24 17:23:44,020 | INPUT | INFO | Fill input "Password" to value "password"
2025-12-24 17:23:44,020 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-password-input" at index "0"
2025-12-24 17:23:44,337 | INPUT | INFO | Check that input "Password" has a value "password"
2025-12-24 17:23:44,337 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-password-input" at index "0"
2025-12-24 17:23:44,348 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-login-button" at index "0"
2025-12-24 17:23:44,348 | BASE_ELEMENT | INFO | Clicking button "Login"
2025-12-24 17:23:44,788 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2025-12-24 17:23:44,789 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" is visible
2025-12-24 17:23:44,801 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2025-12-24 17:23:44,801 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" has text "Wrong email or password"
