2025-12-24 17:23:54,662 | BASE_PAGE | INFO | Opening the url "AppRoute.REGISTRATION"
2025-12-24 17:23:56,020 | INPUT | INFO | Fill input "Email" to value "user.name@gmail.com"
2025-12-24 17:23:56,020 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2025-12-24 17:23:56,107 | INPUT | INFO | Check that input "Email" has a value "user.name@gmail.com"
2025-12-24 17:23:56,108 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2025-12-24 17:23:56,305 | INPUT | INFO | Fill input "Username" to value "username"
2025-12-24 17:23:56,305 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2025-12-24 17:23:56,411 | INPUT | INFO | Check that input "Username" has a value "username"
2025-12-24 17:23:56,411 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2025-12-24 17:23:56,525 | INPUT | INFO | Fill input "Password" to value "password"
2025-12-24 17:23:56,525 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2025-12-24 17:23:56,730 | INPUT | INFO | Check that input "Password" has a value "password"
2025-12-24 17:23:56,731 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2025-12-24 17:23:56,745 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-page-registration-button" at index "0"
2025-12-24 17:23:56,746 | BASE_ELEMENT | INFO | Clicking button "Registration"
2025-12-24 17:23:57,522 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-toolbar-title-text" at index "0"
2025-12-24 17:23:57,522 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2025-12-24 17:23:57,732 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-toolbar-title-text" at index "0"
2025-12-24 17:23:57,732 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Dashboard"
